episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2940824031829834,-87.98578777147219,256
2,100,100,0.3519473075866699,-72.95639170480887,256
3,200,200,0.40845274925231934,-65.24662099554943,256
4,300,300,0.4578416347503662,-71.95372453902907,256
5,400,400,0.5096209049224854,-81.13677190672931,256
6,500,500,0.5580556392669678,-77.60422413984368,256
7,600,600,0.6136178970336914,-76.82765744764805,256
8,700,700,0.6656997203826904,-72.6979739557971,256
9,800,800,80.25185918807983,-124.75493573047382,256
10,900,900,108.1987452507019,-63.64301135315537,256
11,1000,1000,137.88016772270203,-53.79359084643237,256
12,1100,1100,167.6244933605194,-50.329430910548815,256
13,1200,1200,198.09721183776855,-46.4645411569668,256
14,1300,1300,228.11640810966492,-42.133823939313785,256
15,1400,1400,258.0462398529053,-47.06307296568897,256
16,1500,1500,289.5316426753998,-40.89480559839594,256
17,1600,1600,320.8698959350586,-40.75009317684718,256
18,1700,1700,352.20813632011414,-41.17086441683432,256
19,1800,1800,384.7897312641144,-40.61011700323317,256
20,1900,1900,418.2627909183502,-41.329093166373156,256
21,2000,2000,453.21855640411377,-41.37354414009521,256
22,2100,2100,487.486576795578,-39.68235540839497,256
23,2200,2200,521.9709286689758,-66.45660048131407,256
24,2300,2300,557.1642868518829,-41.3740425489134,256
25,2400,2400,592.4230408668518,-52.45231555911527,256
26,2500,2500,628.2449905872345,-50.348414527718155,256
27,2600,2600,665.1009447574615,-61.57698819926174,256
28,2700,2700,703.0763990879059,-50.63285024362974,256
29,2800,2800,740.3545949459076,-54.521674231239494,256
30,2900,2900,778.6920216083527,-50.41945967183652,256
31,3000,3000,817.9802987575531,-52.55626547794935,256
