episode,step,env_step,total_time,episode_reward
1,0,0,0.28820180892944336,-45.22800222952935
2,50,50,0.32282447814941406,-37.71765857129007
3,100,100,0.3552818298339844,-40.90184376704168
4,150,150,0.378462553024292,-41.95173535136079
5,200,200,18.538063049316406,-113.71049393586352
6,250,250,26.58553409576416,-22.320883032257118
7,300,300,35.64917230606079,-25.559382819320014
8,350,350,45.057241916656494,-17.359655106457712
9,400,400,54.63407874107361,-12.781976550919596
10,450,450,65.82726883888245,-10.893710735106826
11,500,500,76.46597099304199,-8.939898021916841
12,550,550,87.1143147945404,-8.19905053219812
13,600,600,97.16535973548889,-8.03045169221115
14,650,650,108.01547622680664,-8.18807199441663
15,700,700,118.63086271286011,-8.188182140750833
16,750,750,128.7205548286438,-8.13889246524244
17,800,800,139.38421297073364,-8.017190851412579
18,850,850,150.2499544620514,-8.223308369160778
19,900,900,160.8289759159088,-7.937624222478464
20,950,950,171.57669234275818,-8.0795258049657
21,1000,1000,182.2708022594452,-8.093072307402004
