episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2319176197052002,-38.214121439069174,256
2,50,50,0.26990342140197754,-36.49436770563638,256
3,100,100,0.2937190532684326,-42.05582391288422,256
4,150,150,0.31768059730529785,-45.50756974516914,256
5,200,200,33.491127014160156,-100.0073498424977,250
6,250,250,48.442288398742676,-33.29889425337158,256
7,300,300,63.66603231430054,-23.210231405206876,256
8,350,350,80.60069632530212,-15.771861917166838,256
9,400,400,96.60604095458984,-15.568571007000429,256
10,450,450,112.59124541282654,-16.02186165802816,256
11,500,500,127.71392631530762,-12.428037663000785,256
12,550,550,143.88781905174255,-9.880804439601766,256
13,600,600,158.93213391304016,-9.612261383373044,256
14,650,650,174.65594005584717,-8.847213676916216,256
15,700,700,190.5431432723999,-7.568001738789024,256
16,750,750,207.28986120224,-9.21474516751574,256
17,800,800,222.1683099269867,-7.030028850587631,256
18,850,850,237.78359818458557,-7.57965054943981,256
19,900,900,252.49108290672302,-8.04914702225435,256
20,950,950,268.50319385528564,-7.175036888749147,256
21,1000,1000,283.78061175346375,-7.7009206853487475,256
