episode,step,env_step,total_time,episode_reward
1,0,0,0.2508211135864258,-41.253609332207816
2,50,50,0.2887394428253174,-42.22089687218791
3,100,100,0.3210945129394531,-37.072827252347544
4,150,150,0.3498101234436035,-43.59793556224712
5,200,200,18.856306314468384,-85.64018822742854
6,250,250,30.237510204315186,-26.201450962529467
7,300,300,42.6528902053833,-22.632524414562848
8,350,350,54.601903200149536,-20.441776265370784
9,400,400,68.59738612174988,-11.272516868000038
10,450,450,85.67190361022949,-9.45637260844315
11,500,500,100.29711985588074,-6.975939925676724
12,550,550,113.83140444755554,-5.980126868297156
13,600,600,127.05795645713806,-5.5364754646380305
14,650,650,140.456285238266,-5.318499855939675
15,700,700,153.794536113739,-5.730603911252842
16,750,750,167.45446729660034,-6.484853620871523
17,800,800,181.30723762512207,-5.031158324763411
18,850,850,195.22592639923096,-5.961109080089884
19,900,900,208.7831907272339,-5.202536492227694
20,950,950,221.9503321647644,-5.329152148552545
21,1000,1000,235.13104820251465,-6.16796159391694
