episode,step,env_step,total_time,episode_reward
1,0,0,0.24110102653503418,-43.12916791249211
2,50,50,0.2801361083984375,-50.00373283399832
3,100,100,0.3096184730529785,-46.07571338622761
4,150,150,0.33357906341552734,-43.29456218536353
5,200,200,64.65273356437683,-81.65813826095648
6,250,250,105.59756207466125,-34.569240751989874
7,300,300,151.7869963645935,-29.38670251269841
8,350,350,203.44032382965088,-21.3050051148559
9,400,400,261.8040907382965,-17.809013413308115
10,450,450,327.02570724487305,-15.189312778243732
11,500,500,444.1861779689789,-11.685795916903935
12,550,550,571.6976685523987,-10.05182039730465
13,600,600,698.8675663471222,-10.821850764335736
14,650,650,827.2274312973022,-12.97193880658878
15,700,700,954.875373840332,-13.619185582460753
16,750,750,1080.0448570251465,-12.551466559361758
17,800,800,1152.1696293354034,-10.889515678833165
18,850,850,1218.7511792182922,-9.826498754883199
19,900,900,1285.508383512497,-10.061145382450558
20,950,950,1352.919519662857,-8.994239496474975
21,1000,1000,1419.9598422050476,-10.047843783351606
