episode,step,env_step,total_time,episode_reward
1,0,0,0.26053953170776367,-43.12916791249211
2,50,50,0.31058621406555176,-50.00373283399832
3,100,100,0.34374141693115234,-46.07571338622761
4,150,150,0.36470532417297363,-43.29456218536353
5,200,200,12.866811037063599,-81.65813826095648
6,250,250,17.287683725357056,-45.68120086123793
7,300,300,22.234968900680542,-28.864318014905237
8,350,350,27.1758713722229,-22.33210292219868
9,400,400,32.1485652923584,-16.28082465793612
10,450,450,37.09150409698486,-15.791957117620367
11,500,500,42.111411809921265,-11.828288625433064
12,550,550,46.53538632392883,-10.71305105051415
13,600,600,51.51910448074341,-12.812468010353099
14,650,650,56.99466323852539,-10.94082590897983
15,700,700,62.69832944869995,-10.534245643267768
16,750,750,68.39943742752075,-11.066771621247911
17,800,800,74.4870252609253,-9.721640897776789
18,850,850,79.75929307937622,-10.693197681697134
19,900,900,85.4957046508789,-10.019041738675746
20,950,950,90.42940425872803,-9.998542518017004
21,1000,1000,96.17116093635559,-15.578807090899215
