episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.22688508033752441,-45.18230397050723,0
2,50,50,0.25336456298828125,-37.704770537810646,0
3,100,100,19.390828371047974,-92.47452110735927,0
4,150,150,27.255808353424072,-40.95911995460717,0
5,200,200,32.90070557594299,-28.733111159131067,0
6,250,250,38.96078634262085,-21.56141123374573,0
7,300,300,45.3329713344574,-15.85959740410895,0
8,350,350,51.29155111312866,-19.463455983980456,0
9,400,400,57.15644645690918,-14.591780983864824,0
10,450,450,65.25128197669983,-16.006036008674876,0
11,500,500,70.99172449111938,-11.443881714792198,0
12,550,550,76.53359627723694,-6.815990654705097,0
13,600,600,82.41480302810669,-7.314829355928208,0
14,650,650,88.2633638381958,-4.7949466316448355,0
15,700,700,96.36029887199402,-5.791628265757416,0
16,750,750,102.50661063194275,-6.231592873102933,0
17,800,800,108.11758661270142,-7.347555165103735,0
18,850,850,113.75581312179565,-4.974606678040308,0
19,900,900,120.09729433059692,-5.28416255775531,0
20,950,950,126.02374792098999,-5.140877655092891,0
21,1000,1000,133.83438730239868,-5.029942001969334,0
