episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.23922395706176758,-41.14815362793015,0
2,50,50,0.268357515335083,-42.13693684001978,0
3,100,100,23.231985569000244,-96.97616657429313,150
4,150,150,30.669872522354126,-30.175917410910337,200
5,200,200,38.35293173789978,-63.399737734904846,250
6,250,250,46.21515107154846,-27.22761504911376,256
7,300,300,56.106372117996216,-21.798168124743942,256
8,350,350,65.25852990150452,-14.663817301317417,256
9,400,400,74.8666763305664,-17.487107152288832,256
10,450,450,86.68765544891357,-10.525948809612638,256
11,500,500,95.90929961204529,-9.976542392274977,256
12,550,550,105.26240515708923,-7.1107046236428,256
13,600,600,114.49701642990112,-6.265969172214509,256
14,650,650,125.63758754730225,-5.597135769750098,256
15,700,700,135.21535229682922,-5.5639202498565155,256
16,750,750,144.9250111579895,-5.431897662232653,256
17,800,800,156.63777995109558,-5.507410742415587,256
18,850,850,165.43584275245667,-5.432147444242732,256
19,900,900,173.46862196922302,-5.325721844506333,256
20,950,950,181.39711666107178,-5.07286419307468,256
21,1000,1000,191.51814937591553,-5.116042450062067,256
