episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.23675131797790527,-42.92779723984757,0
2,50,50,0.2676057815551758,-49.791729894444586,0
3,100,100,27.741679430007935,-115.09217846182254,150
4,150,150,36.00384879112244,-49.090283240953084,197
5,200,200,44.33772253990173,-24.975014481573915,243
6,250,250,55.514317989349365,-37.564390221395335,256
7,300,300,64.2794463634491,-26.318894065592914,209
8,350,350,72.86663031578064,-18.458004325186018,185
9,400,400,81.2592191696167,-17.790390466067002,179
10,450,450,92.00068163871765,-16.71849018905825,168
11,500,500,100.13087630271912,-13.53584533235252,131
12,550,550,108.08751845359802,-10.569336304129436,135
13,600,600,116.52520537376404,-8.29780102806501,131
14,650,650,127.83207941055298,-9.011885243672399,129
15,700,700,136.4427843093872,-8.628085558347635,145
16,750,750,144.90647339820862,-7.462187470373701,136
17,800,800,154.41909217834473,-7.342340647358438,113
18,850,850,166.30669140815735,-7.409168329120774,140
19,900,900,175.69062781333923,-7.321017402994183,147
20,950,950,186.17321586608887,-7.581898613223817,108
21,1000,1000,199.97514700889587,-8.289182256401336,138
