episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2390427589416504,-38.0614749133047,256
2,50,50,0.2758669853210449,-36.25679835624614,256
3,100,100,29.49394655227661,-102.92068810353322,34
4,150,150,39.99856519699097,-40.355623722236196,33
5,200,200,53.54272270202637,-32.920178168833424,40
6,250,250,64.4529197216034,-31.670297135718066,24
7,300,300,75.18983721733093,-22.210450942925746,29
8,350,350,88.04091835021973,-22.198357951411413,25
9,400,400,98.80791735649109,-16.140966465904928,24
10,450,450,109.46966767311096,-13.661235051814538,18
11,500,500,122.08505892753601,-12.16873554510109,18
12,550,550,132.53838300704956,-11.130275832225253,17
13,600,600,143.03638076782227,-8.952533696686183,16
14,650,650,155.7008409500122,-8.922067576100083,16
15,700,700,166.26612949371338,-8.78192753262465,16
16,750,750,176.67896628379822,-8.00366917837111,17
17,800,800,189.39307117462158,-8.184950529133664,18
18,850,850,199.93920278549194,-7.835131365696532,16
19,900,900,212.00776052474976,-7.669240731935845,16
20,950,950,226.09534335136414,-7.614130155475751,18
21,1000,1000,238.1137673854828,-7.375110410514204,17
