episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.234816312789917,-41.14815362793015,0
2,50,50,0.26873207092285156,-42.13693684001978,0
3,100,100,24.73494243621826,-96.97616657429313,17
4,150,150,33.340681076049805,-38.55741878533883,18
5,200,200,41.72757387161255,-33.0383306106745,16
6,250,250,51.88906693458557,-30.454344790218972,18
7,300,300,60.611145973205566,-23.36888660590096,17
8,350,350,69.1927227973938,-18.033684961492263,18
9,400,400,79.49932408332825,-16.46701748792033,19
10,450,450,87.66807222366333,-10.583507454771544,16
11,500,500,96.16022968292236,-8.166312801737742,15
12,550,550,104.72937631607056,-6.743006541123167,15
13,600,600,115.03788876533508,-5.365216817672172,16
14,650,650,123.18319439888,-6.18641065763655,17
15,700,700,131.12384748458862,-5.246267288418733,19
16,750,750,139.23541378974915,-4.958372507380865,17
17,800,800,149.26992750167847,-4.941885370258718,16
18,850,850,157.14427757263184,-5.1518471079403865,15
19,900,900,165.39875721931458,-5.2281456376293525,17
20,950,950,173.61552667617798,-4.731918618430763,14
21,1000,1000,183.85637998580933,-4.572749356559728,15
