episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.5009341239929199,15.798305424988213,0
2,500,500,0.7567803859710693,16.120050052227505,0
3,1000,1000,1.002795934677124,-6.347591593445899,0
4,1500,1500,1.2588918209075928,-0.2479220158756874,0
5,2000,2000,104.47937536239624,-16.56488352674166,0
6,2500,2500,148.1869671344757,-2.254010657765962,0
7,3000,3000,188.35902619361877,-6.441516125203184,0
8,3500,3500,228.0646059513092,22.22723317299454,0
9,4000,4000,265.35596442222595,49.70943946350988,0
10,4500,4500,302.58666801452637,4.993322679546382,0
11,5000,5000,339.1839075088501,50.24868706112089,0
12,5500,5500,376.0756552219391,36.546335213254295,0
13,6000,6000,413.2157578468323,31.44412157676545,0
14,6500,6500,449.95628118515015,37.678348862375735,0
15,7000,7000,486.87337470054626,39.07816960143954,0
16,7500,7500,524.0948717594147,37.82059672971986,0
17,8000,8000,560.8672475814819,41.06937322426758,0
18,8500,8500,605.5631747245789,42.256277366256114,0
19,9000,9000,644.373822927475,42.81970967349613,0
20,9500,9500,681.478342294693,-0.8156155172985067,0
21,10000,10000,718.9317183494568,35.49657706800442,0
22,10500,10500,756.1079459190369,29.204931409085294,0
23,11000,11000,793.1424255371094,35.232304160651374,0
24,11500,11500,834.8929007053375,48.357282374446655,0
25,12000,12000,874.8954842090607,22.829920483974586,0
26,12500,12500,913.493373632431,31.83469288922573,0
27,13000,13000,950.3516166210175,48.91277760858351,0
28,13500,13500,987.5303699970245,37.031333254434266,0
29,14000,14000,1024.602844953537,43.388327598533785,0
30,14500,14500,1065.2191269397736,30.060563391577034,0
31,15000,15000,1106.4065916538239,40.0233465724157,0
