episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.4887425899505615,15.798305424988213,0
2,500,500,0.788658857345581,16.120050052227505,0
3,1000,1000,1.0809872150421143,-6.347591593445899,0
4,1500,1500,1.3873023986816406,-0.2479220158756874,0
5,2000,2000,123.03663039207458,-16.56488352674166,1024
6,2500,2500,179.9078505039215,-22.37731411454431,1024
7,3000,3000,246.15341591835022,24.18786122780054,1024
8,3500,3500,308.2916178703308,25.079429785601665,1024
9,4000,4000,366.6177361011505,8.641045107208543,1024
10,4500,4500,424.30147218704224,8.37624484688046,1024
11,5000,5000,489.2054078578949,27.277276980307647,1024
12,5500,5500,550.5693309307098,18.092218357594405,1024
13,6000,6000,608.699737071991,30.97092871478669,1024
14,6500,6500,665.5844836235046,15.97260869095519,1024
15,7000,7000,728.2645547389984,23.423818678462023,1024
16,7500,7500,790.3158824443817,15.762221857195517,1024
17,8000,8000,848.0872921943665,4.405597041773164,1024
18,8500,8500,905.5801537036896,35.780655818762135,1024
19,9000,9000,967.7874953746796,38.892670446748554,1024
20,9500,9500,1025.9756314754486,38.65502698801011,1024
21,10000,10000,1083.6962451934814,35.25382500012132,1024
22,10500,10500,1140.8842375278473,21.712470963399724,1024
23,11000,11000,1201.2184510231018,39.365265472135206,1024
24,11500,11500,1261.3587834835052,30.911235956600326,1024
25,12000,12000,1318.2694375514984,58.80792477846966,1024
26,12500,12500,1375.7811818122864,61.450028478144034,1024
27,13000,13000,1441.5158078670502,22.492679056364324,1024
28,13500,13500,1501.5646245479584,20.384528195959202,1024
29,14000,14000,1559.1222515106201,32.169798055823904,1024
30,14500,14500,1615.5993938446045,29.831012713022943,1024
31,15000,15000,1679.876140832901,36.92909764287529,1024
