episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.490797758102417,-9.203326506469821,0
2,500,500,0.7732746601104736,3.152501870294764,0
3,1000,1000,1.0229113101959229,14.554387285801884,0
4,1500,1500,1.2808914184570312,-3.207658992763779,0
5,2000,2000,118.97687864303589,-17.861692603993927,159
6,2500,2500,178.5126552581787,7.9633626333250485,200
7,3000,3000,236.3504569530487,37.24932581673513,435
8,3500,3500,293.1341755390167,18.167655329531414,473
9,4000,4000,363.1301815509796,35.14373119737301,777
10,4500,4500,425.97526478767395,26.537662945590373,506
11,5000,5000,486.9615933895111,57.30363099018389,1024
12,5500,5500,547.4284875392914,-4.061763552763816,1024
13,6000,6000,611.5268926620483,27.86694287574241,1024
14,6500,6500,677.3219785690308,47.054103586859945,1024
15,7000,7000,739.5117924213409,37.40622889189738,1024
16,7500,7500,799.8735282421112,21.74708095612825,1024
17,8000,8000,866.4945523738861,-0.9738139269877326,1024
18,8500,8500,930.6086597442627,32.450664826547126,1024
19,9000,9000,991.3187520503998,37.60287400286726,1024
20,9500,9500,1052.3148970603943,32.85956599237187,1024
21,10000,10000,1113.3776123523712,25.677132495009303,1024
22,10500,10500,1174.492467880249,24.17010847365235,1024
23,11000,11000,1234.6318154335022,14.916015129588315,1024
24,11500,11500,1294.346909046173,41.2013792450973,1024
25,12000,12000,1356.0345907211304,-3.4658733620447713,1024
26,12500,12500,1418.953490972519,26.29205241963722,1024
27,13000,13000,1479.4425585269928,3.0739416105410626,1024
28,13500,13500,1539.680524110794,34.13457189123615,1024
29,14000,14000,1609.0764405727386,23.117747757648942,1024
30,14500,14500,1672.5825822353363,27.00329897399174,1024
31,15000,15000,1732.4977912902832,-3.42939933546981,1024
