episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.46994519233703613,15.675951544261766,0
2,500,500,0.7198123931884766,-21.594137018998,0
3,1000,1000,0.9695873260498047,14.134411591039113,0
4,1500,1500,1.2135875225067139,-13.356562825872825,0
5,2000,2000,119.265554189682,-9.194434896749414,21
6,2500,2500,178.1037847995758,29.060062600579833,22
7,3000,3000,233.0218391418457,21.680131269358437,22
8,3500,3500,288.7881135940552,22.70764702147973,26
9,4000,4000,350.97157406806946,1.9913101107448037,27
10,4500,4500,409.3477382659912,12.061469913903013,46
11,5000,5000,466.64522194862366,37.126167898467536,48
12,5500,5500,523.0429074764252,-13.586513159527135,49
13,6000,6000,580.7659478187561,47.29690148241276,55
14,6500,6500,639.0391223430634,30.443364133170494,58
15,7000,7000,695.2184026241302,22.677330461656048,69
16,7500,7500,751.4808633327484,51.79757629787355,97
17,8000,8000,811.5478408336639,34.79582581548857,102
18,8500,8500,872.5941784381866,20.167210464629648,100
19,9000,9000,930.8017928600311,23.0464521451295,111
20,9500,9500,987.1630828380585,-1.1474910251337072,119
21,10000,10000,1043.2291414737701,11.638875792699631,120
22,10500,10500,1102.108312368393,56.012914978637006,122
23,11000,11000,1159.4329931735992,28.6036865086082,122
24,11500,11500,1215.7102308273315,30.358101051355245,124
25,12000,12000,1274.0416843891144,62.056985300129334,129
26,12500,12500,1335.723298549652,52.354854254733624,127
27,13000,13000,1394.2202277183533,38.176734216981906,133
28,13500,13500,1449.4255278110504,4.937085566856813,139
29,14000,14000,1509.3431768417358,33.91032740649092,143
30,14500,14500,1568.805150270462,37.791092421931815,139
31,15000,15000,1625.9232878684998,28.61382870696799,139
