episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.1115570068359375,-909.6811093647008,0
2,200,200,0.18625903129577637,-776.1237972533586,0
3,400,400,0.2611665725708008,-951.0544161415422,0
4,600,600,0.3419220447540283,-991.2850611037533,0
5,800,800,34.25001001358032,-1369.3850886230755,0
6,1000,1000,47.88356280326843,-1149.878700739802,0
7,1200,1200,61.412442684173584,-1152.5682745872616,0
8,1400,1400,75.06228828430176,-507.62362106461177,0
9,1600,1600,88.29161715507507,-130.25979218591462,0
10,1800,1800,101.60356855392456,-128.36745269614502,0
11,2000,2000,114.85585713386536,-130.15715983293742,0
12,2200,2200,128.28172326087952,-130.23112968054832,0
13,2400,2400,140.56171011924744,-128.302430781847,0
14,2600,2600,153.24753069877625,-127.57127005694397,0
15,2800,2800,166.57249069213867,-130.80390771503787,0
16,3000,3000,179.22838234901428,-128.1416135477321,0
