episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.11031246185302734,-909.6811093647008,0
2,200,200,0.19123196601867676,-776.1237972533586,0
3,400,400,0.262026309967041,-951.0544161415422,0
4,600,600,0.34267163276672363,-991.2850611037533,0
5,800,800,42.404120206832886,-1369.3850886230755,15
6,1000,1000,61.69396138191223,-871.8810930732085,15
7,1200,1200,81.31232404708862,-1025.8567186632254,15
8,1400,1400,100.83890295028687,-943.6931022538955,17
9,1600,1600,121.20108914375305,-127.19249414021647,17
10,1800,1800,142.02692294120789,-128.0534520168909,17
11,2000,2000,163.35061264038086,-129.98653168283752,14
12,2200,2200,184.9550061225891,-127.78805961920763,16
13,2400,2400,206.13270735740662,-126.44019411945992,17
14,2600,2600,226.71837306022644,-254.15240642167643,23
15,2800,2800,247.63460230827332,-126.30076101820566,18
16,3000,3000,268.03659772872925,-127.43617866596661,18
