episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.10129523277282715,-1265.8085985282614,0
2,200,200,0.19356989860534668,-1281.6093530726107,0
3,400,400,0.2648046016693115,-1283.4789041445651,0
4,600,600,0.3457357883453369,-1350.115842803025,0
5,800,800,41.57957410812378,-1091.0356994748463,256
6,1000,1000,62.72919678688049,-897.5888859589692,256
7,1200,1200,84.27074980735779,-359.3703626234912,256
8,1400,1400,105.37825727462769,-483.3870796248623,256
9,1600,1600,126.54571080207825,-486.7107388824621,256
10,1800,1800,147.3472933769226,-486.3214368582561,256
11,2000,2000,167.70568370819092,-238.49793755799993,256
12,2200,2200,188.14220666885376,-240.04195052544546,256
13,2400,2400,208.57427382469177,-735.4772426863557,256
14,2600,2600,229.12521743774414,-812.8265998294569,256
15,2800,2800,248.43041682243347,-488.28556634411484,256
16,3000,3000,267.7896091938019,-732.2340518732778,256
