episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.10739445686340332,-1265.8085985282614,0
2,200,200,0.18423891067504883,-1281.6093530726107,0
3,400,400,0.25753021240234375,-1283.4789041445651,0
4,600,600,0.3298308849334717,-1350.115842803025,0
5,800,800,67.02178120613098,-1091.0356994748463,0
6,1000,1000,95.1745777130127,-373.0784468192883,0
7,1200,1200,124.60478234291077,-241.40151784162086,0
8,1400,1400,163.7817461490631,-236.95535106317624,0
9,1600,1600,194.64985394477844,-362.95585315710963,0
10,1800,1800,228.72519087791443,-357.71303545535727,0
11,2000,2000,263.4179046154022,-359.80791000826963,0
12,2200,2200,298.53804659843445,-237.30945473513404,0
13,2400,2400,332.9114022254944,-235.02303844095314,0
14,2600,2600,366.55430793762207,-237.71936812005958,0
15,2800,2800,400.5740842819214,-237.59278398867124,0
16,3000,3000,429.9552698135376,-234.95753341542502,0
