episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.12331128120422363,-1597.8348628006875,0
2,200,200,0.1911017894744873,-1588.163679062567,0
3,400,400,0.2615933418273926,-1542.9157976509948,0
4,600,600,0.34230995178222656,-1591.6844395186379,0
5,800,800,61.83810257911682,-1419.0935591663563,0
6,1000,1000,96.31186962127686,-1266.9093896792417,0
7,1200,1200,132.31863474845886,-978.4606557364903,0
8,1400,1400,167.96491646766663,-1329.6210574734157,0
9,1600,1600,205.87211275100708,-602.8355490780893,0
10,1800,1800,239.1393415927887,-478.85740383895245,0
11,2000,2000,274.42445850372314,-477.13175594402054,0
12,2200,2200,310.292521238327,-480.07022014428475,0
13,2400,2400,346.2193205356598,-604.5523303920197,0
14,2600,2600,381.8828995227814,-603.0860070031571,0
15,2800,2800,417.01231575012207,-604.9657448913638,0
16,3000,3000,450.3176255226135,-862.7351509929699,0
