episode,step,env_step,total_time,episode_reward
1,0,0,0.12477588653564453,-1771.1797296983405
2,200,200,0.19810819625854492,-1803.39167548281
3,400,400,0.2716703414916992,-1755.6729699117031
4,600,600,44.59711742401123,-1533.0650081336144
5,800,800,71.50181555747986,-1353.1687937367549
6,1000,1000,100.18254208564758,-1229.317897849184
7,1200,1200,129.08838510513306,-1228.6052575679648
8,1400,1400,158.48442363739014,-1258.4599310946026
9,1600,1600,187.4678554534912,-1164.720369538895
10,1800,1800,217.46083974838257,-1139.786434976026
11,2000,2000,247.82715106010437,-1153.0699445674363
12,2200,2200,276.3700511455536,-1030.3573822655114
13,2400,2400,306.6739020347595,-1159.9703728213733
14,2600,2600,335.5696847438812,-1135.4922831684817
15,2800,2800,365.0210371017456,-1151.6538203017017
16,3000,3000,393.7126097679138,-614.6013277687015
