episode,step,env_step,total_time,episode_reward
1,0,0,0.12470364570617676,-1771.1797296983405
2,200,200,19.693821907043457,-1610.9850830873356
3,400,400,53.687613010406494,-1169.71318868099
4,600,600,96.76180028915405,-1371.4966472221047
5,800,800,134.55631947517395,-1209.6448548730762
6,1000,1000,175.22128677368164,-1031.8566776717948
7,1200,1200,210.11340761184692,-891.9597456274373
8,1400,1400,256.96821689605713,-492.5447686343992
9,1600,1600,295.39638233184814,-484.028521777767
10,1800,1800,342.96693682670593,-485.00730516941906
11,2000,2000,384.7084469795227,-486.9096882044353
12,2200,2200,428.0987491607666,-489.61686858113245
13,2400,2400,468.1050639152527,-520.3893746031395
14,2600,2600,510.7754065990448,-801.1744362630238
15,2800,2800,550.336437702179,-774.5156679990183
16,3000,3000,591.3218207359314,-771.0446538748737
