episode,step,env_step,total_time,episode_reward
1,0,0,0.12138724327087402,-1771.1797296983405
2,200,200,18.117755889892578,-1610.9850830873356
3,400,400,41.547276735305786,-1200.51449863498
4,600,600,66.83952164649963,-1292.437289903975
5,800,800,94.2887327671051,-1231.7149948311503
6,1000,1000,123.51620960235596,-1052.4696371382379
7,1200,1200,152.30553126335144,-904.9312335142141
8,1400,1400,181.06517052650452,-768.3924048613459
9,1600,1600,209.7473497390747,-779.8430978601546
10,1800,1800,239.77593684196472,-1730.9644409777907
11,2000,2000,269.3727078437805,-1730.284531313558
12,2200,2200,298.8626470565796,-1730.7356675765761
13,2400,2400,328.7791967391968,-1717.457317736841
14,2600,2600,358.57532119750977,-696.8310729218242
15,2800,2800,387.8587808609009,-510.17996882827873
16,3000,3000,417.2141044139862,-488.14134040338644
