episode,step,env_step,total_time,episode_reward
1,0,0,0.11582112312316895,-1080.0770896175793
2,200,200,30.648035049438477,-1056.1511359754209
3,400,400,75.84594893455505,-1323.509974814984
4,600,600,123.01070618629456,-1132.5626405596236
5,800,800,171.61831617355347,-853.6938918029213
6,1000,1000,221.94099879264832,-631.1763902789312
7,1200,1200,272.34460735321045,-123.34829753388418
8,1400,1400,324.0113205909729,-123.66740316169908
9,1600,1600,376.1830871105194,-123.31539709733315
10,1800,1800,428.4117183685303,-124.36178195314854
11,2000,2000,480.3615505695343,-123.42484120256455
12,2200,2200,533.3670392036438,-123.70374890490915
13,2400,2400,586.9442100524902,-123.37061750660887
14,2600,2600,640.8979349136353,-123.84915624512007
15,2800,2800,695.1970746517181,-124.35372624597464
16,3000,3000,751.3967971801758,-123.49496956641539
