episode,step,env_step,total_time,episode_reward
1,0,0,0.12303733825683594,-1597.8348628006875
2,200,200,17.571089029312134,-1514.775781487988
3,400,400,42.67696261405945,-1257.1789296462957
4,600,600,68.88551497459412,-1156.8010510365777
5,800,800,96.70370078086853,-1185.8439588244785
6,1000,1000,126.9363009929657,-765.2698097895018
7,1200,1200,157.42254757881165,-739.8852158367063
8,1400,1400,187.93050336837769,-1023.5819706260031
9,1600,1600,218.06066012382507,-977.1319449197367
10,1800,1800,247.90304136276245,-877.6189390204495
11,2000,2000,278.20913672447205,-475.4284620377526
12,2200,2200,307.93032479286194,-471.8219678671715
13,2400,2400,337.8910086154938,-469.81236135888633
14,2600,2600,367.1293170452118,-474.521868634284
15,2800,2800,397.7983064651489,-472.0398751062498
16,3000,3000,428.2038629055023,-473.53616914285186
