episode,step,env_step,total_time,episode_reward
1,0,0,0.10405850410461426,-1508.265129239984
2,200,200,14.319061756134033,-1393.7659232602928
3,400,400,35.23281955718994,-1696.520918795749
4,600,600,59.140631675720215,-1389.459975491193
5,800,800,84.50618839263916,-1278.8089749193796
6,1000,1000,111.30493974685669,-1011.2371924310886
7,1200,1200,137.92184042930603,-1144.3941126096831
8,1400,1400,165.01482462882996,-853.6915263503532
9,1600,1600,191.62816667556763,-754.1199286873748
10,1800,1800,217.81500124931335,-362.84249916970225
11,2000,2000,243.8883285522461,-362.96067779624707
12,2200,2200,270.5598087310791,-362.81923098892474
13,2400,2400,297.8313081264496,-363.6286515744203
14,2600,2600,325.5552496910095,-367.37314584008175
15,2800,2800,352.83455061912537,-974.9781016190939
16,3000,3000,380.64908814430237,-366.4857112914074
