episode,step,env_step,total_time,episode_reward
1,0,0,0.11369085311889648,-1163.2867886560791
2,200,200,15.631978750228882,-1192.059722739153
3,400,400,38.6307590007782,-1599.9256580728363
4,600,600,63.96676826477051,-1323.5961852501093
5,800,800,91.76922535896301,-1112.9387003499369
6,1000,1000,120.7839572429657,-244.50236585008054
7,1200,1200,150.0634262561798,-246.46070547318183
8,1400,1400,179.31781840324402,-119.44940710122377
9,1600,1600,208.30272817611694,-119.13002378791587
10,1800,1800,236.24730920791626,-118.6541603928432
11,2000,2000,264.22672605514526,-118.83444079632369
12,2200,2200,292.96586084365845,-119.96528970406295
13,2400,2400,321.26248264312744,-120.20192306750779
14,2600,2600,349.92200088500977,-119.2801017289878
15,2800,2800,378.94257736206055,-119.44853326310074
16,3000,3000,407.9634554386139,-119.02325457300888
