episode,step,env_step,total_time,episode_reward
1,0,0,0.12455868721008301,-1265.8085985282614
2,200,200,15.672853231430054,-1163.0083473065558
3,400,400,36.95282745361328,-1675.9837407371754
4,600,600,59.131972551345825,-1311.1000996067094
5,800,800,83.07644462585449,-1135.1761174256633
6,1000,1000,108.21391749382019,-876.6563561798647
7,1200,1200,133.97245502471924,-363.5058815401663
8,1400,1400,160.83820509910583,-236.68933586190644
9,1600,1600,188.19798016548157,-237.15204435356068
10,1800,1800,215.98654460906982,-237.0764688928024
11,2000,2000,243.47601914405823,-238.29742498276633
12,2200,2200,270.6157603263855,-236.87721825010675
13,2400,2400,296.4874174594879,-236.46607105938386
14,2600,2600,321.90912532806396,-236.10607400647535
15,2800,2800,347.3009376525879,-235.87531556774366
16,3000,3000,372.93368196487427,-235.64153747101943
