episode,step,env_step,total_time,episode_reward
1,0,0,0.1116645336151123,-1142.6468980247612
2,200,200,11.942806482315063,-1372.4484978192554
3,400,400,26.840011596679688,-1503.615772098761
4,600,600,42.711156606674194,-1250.1560401867137
5,800,800,59.490745067596436,-1058.346736156318
6,1000,1000,77.22102856636047,-252.21261910710425
7,1200,1200,94.8555588722229,-1018.6168313346847
8,1400,1400,112.2202501296997,-250.37940793183014
9,1600,1600,128.97915124893188,-251.98096287975775
10,1800,1800,145.7972903251648,-246.85231571059447
11,2000,2000,162.75492191314697,-248.64963271455233
12,2200,2200,179.87148880958557,-504.91520168631314
13,2400,2400,196.73128533363342,-126.4595139697136
14,2600,2600,213.5411036014557,-253.36000286075475
15,2800,2800,230.56129956245422,-125.95182703145262
16,3000,3000,248.38204884529114,-124.76846697665881
