episode,step,env_step,total_time,episode_reward
1,0,0,0.10421991348266602,-1771.1797296983405
2,200,200,0.17652511596679688,-1803.39167548281
3,400,400,0.25400519371032715,-1755.6729699117031
4,600,600,0.32657647132873535,-1801.1741582901093
5,800,800,61.991077184677124,-1669.163784740323
6,1000,1000,92.77841758728027,-1331.3024207232127
7,1200,1200,122.72847771644592,-1332.8456163790854
8,1400,1400,154.45550322532654,-1285.3008544501736
9,1600,1600,185.78456807136536,-1272.3079366603488
10,1800,1800,217.87260007858276,-1151.0213722641502
11,2000,2000,250.15453910827637,-1159.5058738318226
12,2200,2200,283.7955689430237,-1254.720673626356
13,2400,2400,316.91414761543274,-1184.3566750624586
14,2600,2600,349.9440701007843,-1255.2469580348848
15,2800,2800,383.1279263496399,-1244.0032870942605
16,3000,3000,417.4986147880554,-1162.0469677226395
