episode,step,env_step,total_time,episode_reward
1,0,0,0.147904634475708,-1163.2867886560791
2,200,200,0.24700045585632324,-1070.5325101373842
3,400,400,0.3267507553100586,-1178.1498552855467
4,600,600,0.39900708198547363,-1173.4176746693497
5,800,800,51.04037141799927,-1223.977626456792
6,1000,1000,69.73525905609131,-767.8989648624253
7,1200,1200,88.02685642242432,-247.13627614463593
8,1400,1400,105.9824206829071,-247.8188536949206
9,1600,1600,124.31139802932739,-249.4162221946643
10,1800,1800,143.080885887146,-123.69788749272665
11,2000,2000,161.58798003196716,-762.7255357238412
12,2200,2200,179.43702006340027,-125.53111047054432
13,2400,2400,197.25937271118164,-249.58515492870148
14,2600,2600,215.48099732398987,-251.10113677520044
15,2800,2800,233.76925802230835,-247.34181534515875
16,3000,3000,251.67718076705933,-122.50417459099293
