episode,step,env_step,total_time,episode_reward
1,0,0,0.10329842567443848,-1771.1797296983405
2,200,200,0.19007349014282227,-1803.39167548281
3,400,400,0.2654402256011963,-1755.6729699117031
4,600,600,0.34201812744140625,-1801.1741582901093
5,800,800,60.540653467178345,-1669.163784740323
6,1000,1000,88.06989216804504,-1332.2461610373557
7,1200,1200,116.02519941329956,-1255.6779275829535
8,1400,1400,144.72267365455627,-1254.9908975751723
9,1600,1600,172.50420117378235,-1281.2564601049196
10,1800,1800,200.7142527103424,-1177.5562744003614
11,2000,2000,230.4638910293579,-1112.132150794969
12,2200,2200,259.55703926086426,-1155.3015787853274
13,2400,2400,287.56055545806885,-1216.6258499587996
14,2600,2600,315.67257356643677,-1161.4018311775453
15,2800,2800,343.6206316947937,-617.481948927409
16,3000,3000,372.01053500175476,-751.1375659867113
