episode,step,env_step,total_time,episode_reward
1,0,0,0.10003876686096191,-1597.8348628006875
2,200,200,0.17559170722961426,-1588.163679062567
3,400,400,0.24462008476257324,-1542.9157976509948
4,600,600,0.3210124969482422,-1591.6844395186379
5,800,800,54.390058279037476,-1419.0935561323329
6,1000,1000,80.56850028038025,-1230.6186680514495
7,1200,1200,107.01380705833435,-1142.6987691204974
8,1400,1400,133.57042336463928,-853.3595790397259
9,1600,1600,159.88940930366516,-739.796783347352
10,1800,1800,185.06598782539368,-1024.9280247246088
11,2000,2000,210.78758764266968,-477.9809744161888
12,2200,2200,236.1038258075714,-1316.3989640087243
13,2400,2400,261.12387108802795,-729.0235319583887
14,2600,2600,286.096063375473,-466.56364121078104
15,2800,2800,312.2636229991913,-594.0654383543388
16,3000,3000,339.1580777168274,-473.7042656628726
