episode,step,env_step,total_time,episode_reward
1,0,0,0.1318070888519287,-1597.8348628006875
2,200,200,0.21718382835388184,-1588.163679062567
3,400,400,0.28807878494262695,-1542.9157976509948
4,600,600,0.3698701858520508,-1591.6844395186379
5,800,800,102.7111349105835,-1419.0935561323329
6,1000,1000,142.11540269851685,-1169.6719083660255
7,1200,1200,182.90129017829895,-1008.168762592419
8,1400,1400,221.33111596107483,-609.4297277166233
9,1600,1600,261.10234332084656,-479.1392797202908
10,1800,1800,299.45247292518616,-1008.5052571294746
11,2000,2000,337.30917954444885,-477.540892679161
12,2200,2200,375.6273157596588,-611.8590479641528
13,2400,2400,414.18940687179565,-488.60085594905973
14,2600,2600,453.2983400821686,-478.80141940986715
15,2800,2800,491.7768635749817,-475.43406371300364
16,3000,3000,530.476404428482,-618.3002233988535
