episode,step,env_step,total_time,episode_reward
1,0,0,0.1328129768371582,-1332.2901395301417
2,200,200,18.004448175430298,-1727.36369620886
3,400,400,45.32780456542969,-1178.744940639512
4,600,600,71.20271277427673,-929.8617057925952
5,800,800,97.5524673461914,-1352.978607242224
6,1000,1000,123.3597207069397,-1167.2483204863372
7,1200,1200,150.4631986618042,-859.230097289798
8,1400,1400,177.90909147262573,-484.6741801102433
9,1600,1600,204.7941689491272,-247.80759579541112
10,1800,1800,231.886127948761,-1140.8538134639225
11,2000,2000,258.7299635410309,-608.8006116379986
12,2200,2200,286.16247057914734,-630.8182285016736
13,2400,2400,312.40228819847107,-846.9163983804989
14,2600,2600,338.8853602409363,-755.8916595464456
15,2800,2800,365.26560950279236,-127.76045636525433
16,3000,3000,392.5323851108551,-365.25546128448775
17,3200,3200,420.0191128253937,-120.127441792781
18,3400,3400,446.7665059566498,-1.5765076448326965
19,3600,3600,475.2324438095093,-121.60953748750487
20,3800,3800,505.35346007347107,-1.1526684143564063
21,4000,4000,533.6584479808807,-2.6653841866353565
22,4200,4200,559.7718608379364,-359.5547737034256
23,4400,4400,585.7605783939362,-862.4040095363133
24,4600,4600,612.9204199314117,-546.6973184418415
25,4800,4800,639.9716329574585,-365.6143340878296
26,5000,5000,667.0479743480682,-125.43498948228039
27,5200,5200,693.8275680541992,-126.28260653281237
28,5400,5400,720.8949973583221,-507.45557135202847
29,5600,5600,747.7537605762482,-123.71716628098397
30,5800,5800,774.3140187263489,-473.88736641086354
31,6000,6000,800.6898808479309,-238.10342895557213
32,6200,6200,826.4361565113068,-124.84268159496393
33,6400,6400,852.6604053974152,-596.1701799408303
34,6600,6600,880.4857950210571,-122.67280362943544
35,6800,6800,907.8107671737671,-129.64246501077386
36,7000,7000,935.0958256721497,-363.1363408296996
37,7200,7200,962.5942211151123,-126.49957115362271
38,7400,7400,990.5416991710663,-244.094652632546
39,7600,7600,1017.629312992096,-128.96593121590672
40,7800,7800,1044.1152250766754,-358.29676536695536
41,8000,8000,1070.65039229393,-3.741703146172137
42,8200,8200,1097.2714223861694,-3.3457319498005114
43,8400,8400,1125.2689096927643,-123.11149728440449
44,8600,8600,1152.627655506134,-121.01383241239705
45,8800,8800,1180.0239932537079,-349.616342483798
46,9000,9000,1207.2873077392578,-128.4859171480011
47,9200,9200,1235.0619568824768,-128.29970890567483
48,9400,9400,1261.420351266861,-129.57057658320323
49,9600,9600,1288.2729325294495,-361.8999011571068
50,9800,9800,1314.5968279838562,-127.85019610893838
51,10000,10000,1341.4203402996063,-125.9379450350541
