episode,step,env_step,total_time,episode_reward
1,0,0,0.12244105339050293,-1055.332886734798
2,200,200,19.91949439048767,-1343.5769828805264
3,400,400,47.76737976074219,-1614.8522436163205
4,600,600,75.83041620254517,-1298.175459581995
5,800,800,103.89886832237244,-1316.1739408866474
6,1000,1000,131.30705571174622,-1104.6603502700252
7,1200,1200,158.42352199554443,-756.9795094972483
8,1400,1400,186.90474843978882,-494.24885646570414
9,1600,1600,215.52360892295837,-510.69126327798574
10,1800,1800,243.86104202270508,-11.025175495629234
11,2000,2000,272.05255246162415,-496.538068727186
12,2200,2200,299.5940146446228,-256.3159440786635
13,2400,2400,326.22677278518677,-504.1463280420839
14,2600,2600,353.0757575035095,-257.13095085152935
15,2800,2800,379.98251581192017,-382.675447648212
16,3000,3000,407.2265214920044,-257.3988040960538
17,3200,3200,434.19035840034485,-493.6809167037916
18,3400,3400,463.47433042526245,-743.6393437716159
19,3600,3600,491.49444603919983,-1331.1092110498078
20,3800,3800,519.3374707698822,-374.2737061684152
21,4000,4000,546.3342182636261,-493.47072070293683
22,4200,4200,573.3462414741516,-128.75936363705372
23,4400,4400,600.7195339202881,-128.86417193444242
24,4600,4600,628.003981590271,-126.27994371536492
25,4800,4800,655.5174298286438,-4.573433048983251
26,5000,5000,682.8385307788849,-129.1461948518341
27,5200,5200,711.6127679347992,-127.68113448219493
28,5400,5400,739.5928256511688,-356.24346126471767
29,5600,5600,767.4611728191376,-363.20179542647475
30,5800,5800,795.4096074104309,-479.04233860806664
31,6000,6000,823.6623964309692,-486.46950518104853
32,6200,6200,850.6906838417053,-578.8992902313865
33,6400,6400,877.7232630252838,-477.68492930408297
34,6600,6600,904.667343378067,-563.6265422752924
35,6800,6800,932.6282422542572,-243.40673581641326
36,7000,7000,961.1504905223846,-478.5180597165658
37,7200,7200,989.2793207168579,-131.33244642633255
38,7400,7400,1017.306125164032,-255.0748560952362
39,7600,7600,1046.2377593517303,-125.6369813393424
40,7800,7800,1074.6865260601044,-581.7152734748229
41,8000,8000,1102.4702417850494,-483.1350927837347
42,8200,8200,1130.692929983139,-360.75582588563424
43,8400,8400,1157.7959287166595,-377.3359565402415
44,8600,8600,1187.1830441951752,-840.5054668839234
45,8800,8800,1215.5267219543457,-127.68708788370253
46,9000,9000,1244.0355479717255,-253.18787885498648
47,9200,9200,1273.0344095230103,-370.79165773661026
48,9400,9400,1302.4535653591156,-252.92983568156208
49,9600,9600,1330.377639055252,-480.97029970371426
50,9800,9800,1358.284524679184,-121.56666859309736
51,10000,10000,1385.6541156768799,-482.4746075737738
