episode,step,env_step,total_time,episode_reward
1,0,0,0.13612866401672363,-1301.5945045396602
2,200,200,20.34242868423462,-1469.1082038277432
3,400,400,47.903801918029785,-1207.137003173753
4,600,600,75.29797959327698,-913.4880301570677
5,800,800,102.47827076911926,-872.7459402851491
6,1000,1000,128.678772687912,-864.3629559311801
7,1200,1200,154.5675709247589,-858.2689654806355
8,1400,1400,180.24781894683838,-374.777185423497
9,1600,1600,206.0824875831604,-747.4407120530537
10,1800,1800,233.365314245224,-747.9297519883282
11,2000,2000,259.9811849594116,-500.51488154894815
12,2200,2200,286.7852554321289,-618.558611093243
13,2400,2400,313.74078941345215,-736.2129125633631
14,2600,2600,340.79099130630493,-120.55510060095655
15,2800,2800,366.9313623905182,-592.3986793657448
16,3000,3000,392.8930068016052,-581.2090442866333
17,3200,3200,418.80086612701416,-124.98771744735565
18,3400,3400,445.6550052165985,-516.7516644108213
19,3600,3600,472.55672097206116,-238.20355489435153
20,3800,3800,499.67021346092224,-240.21666626533585
21,4000,4000,527.1560893058777,-484.50695620185616
22,4200,4200,555.1165249347687,-236.8254979595169
23,4400,4400,583.0732734203339,-123.21700378402387
24,4600,4600,609.427773475647,-125.4665329759264
25,4800,4800,635.0866990089417,-598.8105994403361
26,5000,5000,660.9784309864044,-239.81396147500774
27,5200,5200,686.9781858921051,-495.1129750553788
28,5400,5400,714.5672979354858,-369.8227423590346
29,5600,5600,741.6050462722778,-478.6233116242602
30,5800,5800,768.4054930210114,-487.55471448786227
31,6000,6000,795.3435621261597,-369.7365488497559
32,6200,6200,822.5027942657471,-243.28906628827627
33,6400,6400,848.8586316108704,-845.7467864201775
34,6600,6600,875.4118318557739,-126.16007629604546
35,6800,6800,901.8311991691589,-527.6345318275606
36,7000,7000,927.8457400798798,-126.33622420498182
37,7200,7200,955.2850520610809,-121.91142210364093
38,7400,7400,982.3597779273987,-364.3367652259312
39,7600,7600,1009.6271884441376,-248.42648857564905
40,7800,7800,1036.3658301830292,-127.05176328506221
41,8000,8000,1063.8009567260742,-239.16534821434558
42,8200,8200,1089.9812915325165,-365.60860040506384
43,8400,8400,1116.3245837688446,-356.52683536883245
44,8600,8600,1142.197015762329,-486.7802224958501
45,8800,8800,1168.674120426178,-130.78181759518642
46,9000,9000,1195.7991511821747,-129.66641323576826
47,9200,9200,1222.923874616623,-123.42414168476323
48,9400,9400,1250.3669338226318,-242.92748519658798
49,9600,9600,1277.6860773563385,-485.3062138756666
50,9800,9800,1305.6558001041412,-128.5091618211388
51,10000,10000,1332.0407345294952,-124.57738440305829
