episode,step,env_step,total_time,episode_reward
1,0,0,0.11400294303894043,-1332.2901395301417
2,200,200,12.571062326431274,-1727.36369620886
3,400,400,29.2998526096344,-1137.710881433055
4,600,600,45.72986650466919,-1363.1884978431203
5,800,800,63.00453495979309,-1352.09909659563
6,1000,1000,80.64008975028992,-696.2384148266822
7,1200,1200,97.68690752983093,-366.89945933392573
8,1400,1400,114.6965229511261,-234.87176190747334
9,1600,1600,131.91543459892273,-367.7666862319006
10,1800,1800,149.14531302452087,-896.1700511715234
11,2000,2000,166.20741295814514,-2.595933349440879
12,2200,2200,183.59386730194092,-637.4025106465702
13,2400,2400,200.83846831321716,-616.7293371016002
14,2600,2600,217.67743802070618,-126.88388787979214
15,2800,2800,234.49668502807617,-127.28786273523504
16,3000,3000,251.46083641052246,-368.75516932932067
17,3200,3200,268.0374252796173,-119.2752463219985
18,3400,3400,284.5449798107147,-2.511134875415964
19,3600,3600,301.7722463607788,-122.33367342642724
20,3800,3800,319.37306571006775,-1.1777133705687632
21,4000,4000,336.28129959106445,-0.767317786547256
22,4200,4200,353.72357964515686,-353.3642689346093
23,4400,4400,370.9942169189453,-247.77192837981102
24,4600,4600,388.39390778541565,-534.9449830461159
25,4800,4800,404.85165572166443,-358.2338128638088
26,5000,5000,422.29338812828064,-121.81112608870757
27,5200,5200,439.97978615760803,-124.63188805273195
28,5400,5400,456.70160365104675,-507.28843546834923
29,5600,5600,473.51595973968506,-121.9832549173104
30,5800,5800,490.3880343437195,-573.1892827619296
31,6000,6000,507.0212640762329,-236.79165196624675
32,6200,6200,523.4561154842377,-245.82110384320717
33,6400,6400,540.5971539020538,-616.9916299752315
34,6600,6600,558.1384992599487,-121.59490019719686
35,6800,6800,575.2242398262024,-126.16376828552708
36,7000,7000,592.2487707138062,-369.0732164032615
37,7200,7200,609.3329787254333,-124.60492323456788
38,7400,7400,626.6178233623505,-246.38879435036296
39,7600,7600,643.8332195281982,-126.50880001650823
40,7800,7800,661.1064493656158,-239.6066401796797
41,8000,8000,678.2894463539124,-1.9194753816390793
42,8200,8200,694.9863083362579,-4.11773672082554
43,8400,8400,711.7137713432312,-124.27207457998284
44,8600,8600,728.7284092903137,-124.84449309550806
45,8800,8800,745.3457729816437,-357.05607365416284
46,9000,9000,762.1265587806702,-129.77003943388786
47,9200,9200,779.6501739025116,-131.30108972878475
48,9400,9400,797.099897146225,-128.995705890715
49,9600,9600,814.2781443595886,-610.10986801603
50,9800,9800,831.3963057994843,-126.33243142856954
51,10000,10000,848.6099412441254,-124.12118591774691
