episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2755110263824463,-84.0280454129702,256
2,100,100,0.34206390380859375,-74.60739363708173,256
3,200,200,0.4174525737762451,-82.00658813150338,256
4,300,300,0.47916340827941895,-79.73690058885674,256
5,400,400,45.84997272491455,-132.61902188907078,256
6,500,500,99.15222930908203,-106.06133711563591,256
7,600,600,151.8437521457672,-99.97959241958488,256
8,700,700,206.00055742263794,-70.23426503337558,256
9,800,800,261.4219193458557,-65.77653067742699,256
10,900,900,316.42642402648926,-65.68681664032016,256
11,1000,1000,377.8308470249176,-71.73735387769177,256
12,1100,1100,433.8678388595581,-58.51264229247419,256
13,1200,1200,491.4778211116791,-56.8969166669276,256
14,1300,1300,548.9908399581909,-55.710178198240556,256
15,1400,1400,607.0962052345276,-53.89982507456903,256
16,1500,1500,665.6210570335388,-51.18257561944107,256
17,1600,1600,724.6959118843079,-53.476705438085006,256
18,1700,1700,784.8233003616333,-52.92705555730417,256
19,1800,1800,845.2041442394257,-50.212280482732055,256
20,1900,1900,905.9492454528809,-50.852713190282344,256
21,2000,2000,968.2507388591766,-48.84827551773943,256
22,2100,2100,1030.751224040985,-47.9077897702028,256
23,2200,2200,1092.60404753685,-47.50175084331116,256
24,2300,2300,1154.569251537323,-50.49047558129968,256
25,2400,2400,1217.6350274085999,-47.143298298901485,256
26,2500,2500,1280.268352508545,-56.73455203415445,256
27,2600,2600,1342.0967857837677,-53.263864819113365,256
28,2700,2700,1404.6311283111572,-46.27423828033701,256
29,2800,2800,1467.4748589992523,-47.075668117464346,256
30,2900,2900,1529.1068303585052,-47.84308829074468,256
31,3000,3000,1591.4852044582367,-47.96738362714292,256
