episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2885477542877197,-78.34414959392807,0
2,100,100,0.3409116268157959,-75.39560209902504,0
3,200,200,0.3874516487121582,-84.22581250361536,0
4,300,300,0.4307849407196045,-79.69829538345192,0
5,400,400,25.345746278762817,-97.30230352429703,0
6,500,500,35.063926458358765,-106.88052829981689,0
7,600,600,44.62383031845093,-75.71047350581549,0
8,700,700,55.267505168914795,-71.81071892494333,0
9,800,800,66.35573363304138,-65.6712873945442,0
10,900,900,75.8747992515564,-55.170201691255166,0
11,1000,1000,85.40705513954163,-62.43718894204677,0
12,1100,1100,96.12351441383362,-61.74426707275952,0
13,1200,1200,107.38133120536804,-59.44578039897779,0
14,1300,1300,118.34063744544983,-53.64605217207066,0
15,1400,1400,128.8018057346344,-51.575121020366936,0
16,1500,1500,138.28775691986084,-60.4626198022337,0
17,1600,1600,147.8475615978241,-46.175278736047396,0
18,1700,1700,157.8032190799713,-44.31329739312989,0
19,1800,1800,167.42199993133545,-52.446872312696534,0
20,1900,1900,176.98698806762695,-49.68943441301206,0
21,2000,2000,186.58469700813293,-48.84232530654761,0
22,2100,2100,196.2356424331665,-49.260046816613034,0
23,2200,2200,205.90944004058838,-45.461669609470974,0
24,2300,2300,215.5590431690216,-45.13769365197143,0
25,2400,2400,225.33536291122437,-48.729417802499675,0
26,2500,2500,234.9529161453247,-44.16177163876294,0
27,2600,2600,244.60483956336975,-45.59451319405139,0
28,2700,2700,254.23266291618347,-45.435042560510446,0
29,2800,2800,263.9031436443329,-43.38597993994366,0
30,2900,2900,273.56611585617065,-43.73945352378388,0
31,3000,3000,284.8821794986725,-44.93915925143101,0
