episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.26788806915283203,-78.34414959392807,256
2,100,100,0.3177759647369385,-75.39560209902504,256
3,200,200,0.3671541213989258,-84.22581250361536,256
4,300,300,0.4199187755584717,-79.69829538345192,256
5,400,400,39.097912549972534,-97.30230352429703,256
6,500,500,64.88145232200623,-108.54685161156836,256
7,600,600,91.351633310318,-73.01364850910313,256
8,700,700,117.44822144508362,-69.27339772463286,256
9,800,800,145.4804015159607,-65.53651677539081,256
10,900,900,174.0915756225586,-70.84074347671864,256
11,1000,1000,203.12115836143494,-58.84373689076116,256
12,1100,1100,232.200927734375,-61.465139288118024,256
13,1200,1200,261.7979826927185,-57.95344930726241,256
14,1300,1300,291.43545484542847,-59.13350359568177,256
15,1400,1400,321.8359751701355,-52.26984600781646,256
16,1500,1500,352.3842308521271,-53.2509629813057,256
17,1600,1600,384.01500725746155,-49.68474126152316,256
18,1700,1700,416.58322739601135,-52.35069289800832,256
19,1800,1800,449.21120429039,-50.4376002912453,256
20,1900,1900,481.6692943572998,-48.03976300978393,256
21,2000,2000,516.6630759239197,-47.455358464645066,256
22,2100,2100,550.5715217590332,-46.8753919072661,256
23,2200,2200,584.3009927272797,-48.84395132455719,256
24,2300,2300,619.0543015003204,-45.96092112084834,256
25,2400,2400,654.4103999137878,-48.126855910657,256
26,2500,2500,689.178284406662,-48.79182610631694,256
27,2600,2600,723.1756992340088,-46.717982267194365,256
28,2700,2700,757.8719499111176,-46.2561495064791,256
29,2800,2800,792.5078413486481,-47.54426357292865,256
30,2900,2900,826.8459711074829,-46.6253530435618,256
31,3000,3000,861.9258258342743,-46.250050126611676,256
