episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2996656894683838,-72.13601735453092,512
2,100,100,0.37093067169189453,-69.22335337364804,512
3,200,200,0.44841814041137695,-82.33018750532376,512
4,300,300,0.5100376605987549,-83.84240829488296,512
5,400,400,41.633846044540405,-127.0737942692498,40
6,500,500,59.898905515670776,-98.65706236578407,37
7,600,600,78.24912643432617,-68.39820766504944,37
8,700,700,96.25861811637878,-70.62117573043702,27
9,800,800,114.218820810318,-73.90467214598483,24
10,900,900,132.14231252670288,-55.19434543702139,20
11,1000,1000,150.3072328567505,-59.19863870130901,17
12,1100,1100,168.6366572380066,-57.482485253379586,17
13,1200,1200,187.52718591690063,-54.45277497400655,13
14,1300,1300,206.69096112251282,-49.0678618865668,12
15,1400,1400,225.72066593170166,-47.88376053839559,12
16,1500,1500,245.35198497772217,-43.79995097807679,11
17,1600,1600,264.2484426498413,-44.39418020746113,11
18,1700,1700,282.68603587150574,-41.71066197163065,13
19,1800,1800,301.7128963470459,-40.14222373980532,11
20,1900,1900,320.4207203388214,-40.42862255651235,9
21,2000,2000,339.4515700340271,-41.06890479738197,9
22,2100,2100,358.4588918685913,-39.25250862513854,11
23,2200,2200,377.824373960495,-36.94973949303576,10
24,2300,2300,396.66413259506226,-46.448177407996575,9
25,2400,2400,416.1497755050659,-38.4075425075993,9
26,2500,2500,436.3360185623169,-39.27502734090969,18
27,2600,2600,456.22397565841675,-42.192406335640804,7
28,2700,2700,476.0833623409271,-37.46202124481738,10
29,2800,2800,496.21947979927063,-39.77645015542607,5
30,2900,2900,515.0269846916199,-39.22027453143488,16
31,3000,3000,534.7889606952667,-37.80229031795371,10
