episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2617638111114502,-72.13601735453092,512
2,100,100,0.34757065773010254,-69.22335337364804,512
3,200,200,0.4001455307006836,-82.33018750532376,512
4,300,300,0.44503211975097656,-83.84240829488296,512
5,400,400,37.01156139373779,-127.0737942692498,12
6,500,500,53.631585359573364,-101.20692521065507,12
7,600,600,70.60913133621216,-101.32452669665555,12
8,700,700,87.04787087440491,-82.86953638259774,11
9,800,800,103.38477635383606,-65.88494072174598,11
10,900,900,120.7353138923645,-60.470027262295176,11
11,1000,1000,138.19514775276184,-59.373370165209735,10
12,1100,1100,156.87007594108582,-53.2938623290399,12
13,1200,1200,174.26957893371582,-52.756866268670436,12
14,1300,1300,190.91607856750488,-47.80018079715768,10
15,1400,1400,207.25964331626892,-45.915818691342906,12
16,1500,1500,223.65338587760925,-47.30059609438891,13
17,1600,1600,239.78310132026672,-42.53232062696493,13
18,1700,1700,256.0442020893097,-39.68015399298169,12
19,1800,1800,272.28181052207947,-42.33172225606742,10
20,1900,1900,289.38743829727173,-43.18046076253777,8
21,2000,2000,307.9264144897461,-37.31821907734341,5
22,2100,2100,326.9760479927063,-37.60002053056809,12
23,2200,2200,344.048645734787,-35.56807208340057,3
24,2300,2300,360.9294958114624,-38.90737970686444,4
25,2400,2400,377.7538983821869,-40.305310529461,3
26,2500,2500,394.712682723999,-40.109221644306785,2
27,2600,2600,412.6848556995392,-35.721211235631515,3
28,2700,2700,430.53124260902405,-36.398430901211114,2
29,2800,2800,447.58501410484314,-38.017548366490544,2
30,2900,2900,464.65700221061707,-38.1930277437333,2
31,3000,3000,481.602454662323,-39.799300053471114,16
