episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.27054286003112793,-87.98578777147219,512
2,100,100,0.35006046295166016,-72.95639170480887,512
3,200,200,0.41854023933410645,-65.24662099554943,512
4,300,300,0.4983711242675781,-71.95372453902907,512
5,400,400,232.4212007522583,-127.45530936009212,14
6,500,500,315.70760583877563,-99.19133633117664,14
7,600,600,399.854291677475,-98.15273770700249,14
8,700,700,484.1551311016083,-51.40889574790483,13
9,800,800,568.3139958381653,-58.51179057548387,13
10,900,900,652.4975371360779,-62.83541501295341,12
11,1000,1000,736.6746394634247,-59.08005161432673,13
12,1100,1100,822.8785161972046,-57.34129665484655,13
13,1200,1200,911.4294247627258,-54.92800794313634,12
14,1300,1300,1000.9774580001831,-53.803554733388516,13
15,1400,1400,1092.6449439525604,-50.155999196395335,14
16,1500,1500,1186.5172200202942,-53.98668259501575,14
17,1600,1600,1281.956919670105,-47.19609078919811,14
18,1700,1700,1379.6476817131042,-44.80312231586157,15
19,1800,1800,1481.405839920044,-44.93030905995876,13
20,1900,1900,1583.8648986816406,-39.50758381017789,15
21,2000,2000,1690.8765180110931,-43.281567095764274,13
22,2100,2100,1795.6211440563202,-44.18395249624273,14
23,2200,2200,1901.7521257400513,-44.695695928288735,13
24,2300,2300,2006.4868063926697,-43.13705232229219,14
25,2400,2400,2113.0483767986298,-39.397948383335034,15
26,2500,2500,2219.3715159893036,-43.13598996629782,16
27,2600,2600,2327.2696578502655,-45.26050064382315,14
28,2700,2700,2433.0572333335876,-46.27017387817312,16
29,2800,2800,2541.091001033783,-49.40907755279976,15
30,2900,2900,2647.6532163619995,-43.44458635005665,15
31,3000,3000,2754.9010207653046,-43.73346333581457,14
