episode,step,env_step,total_time,episode_reward
1,0,0,0.26468729972839355,-81.39157754459579
2,100,100,0.32038378715515137,-80.51169851930267
3,200,200,0.370833158493042,-87.18426789108172
4,300,300,0.4239072799682617,-88.77019695822001
5,400,400,46.48404407501221,-118.81312228720579
6,500,500,70.8456027507782,-95.49327774035027
7,600,600,95.47556567192078,-107.38462034962812
8,700,700,119.9423418045044,-75.5926910757702
9,800,800,144.10050678253174,-63.69110201457895
10,900,900,167.26061987876892,-61.39213069487002
11,1000,1000,189.81797075271606,-61.58081039161616
12,1100,1100,212.3928678035736,-60.442705399710945
13,1200,1200,234.94744729995728,-57.814258949947394
14,1300,1300,259.5708348751068,-65.1936186498861
15,1400,1400,284.9983055591583,-53.898831464450694
16,1500,1500,309.38701605796814,-60.43136283329085
17,1600,1600,334.1320676803589,-58.09658566445685
18,1700,1700,358.6891040802002,-50.34442931742945
19,1800,1800,381.700795173645,-49.18109992303891
20,1900,1900,405.3356671333313,-47.63147953178739
21,2000,2000,428.2877767086029,-46.12424176273558
22,2100,2100,451.19949197769165,-45.70343169734773
23,2200,2200,474.2861487865448,-46.11822016945033
24,2300,2300,497.47670245170593,-46.774710336779755
25,2400,2400,522.9235725402832,-45.601263337795196
26,2500,2500,547.6385533809662,-46.283648779818655
27,2600,2600,572.547708272934,-46.68039394017676
28,2700,2700,597.2279894351959,-45.83932874464192
29,2800,2800,620.6929776668549,-46.47131230049654
30,2900,2900,644.2305107116699,-44.713056094979486
31,3000,3000,668.1147685050964,-45.62001205267283
