episode,step,env_step,total_time,episode_reward
1,0,0,0.26332807540893555,-72.13601735453092
2,100,100,0.3224062919616699,-69.22335337364804
3,200,200,0.3678147792816162,-82.33018750532376
4,300,300,0.41500210762023926,-83.84240829488296
5,400,400,51.86830163002014,-127.0737942692498
6,500,500,79.15467309951782,-100.18849454063394
7,600,600,106.31644773483276,-63.12850504175768
8,700,700,133.85208821296692,-69.54524143083724
9,800,800,160.08417439460754,-62.06250591216105
10,900,900,185.7209815979004,-56.84775643745592
11,1000,1000,211.66765117645264,-55.250197885046845
12,1100,1100,237.1819360256195,-49.48324922966034
13,1200,1200,263.4739534854889,-45.44406963791347
14,1300,1300,291.4665732383728,-43.552246344728424
15,1400,1400,319.13351130485535,-44.91048898188488
16,1500,1500,346.4037346839905,-41.14239887243906
17,1600,1600,373.3231768608093,-40.772496967686365
18,1700,1700,400.158775806427,-42.09907119499644
19,1800,1800,426.2499942779541,-37.03852306623426
20,1900,1900,452.47080421447754,-38.3814930396519
21,2000,2000,478.8116624355316,-38.378319280803055
22,2100,2100,506.22933650016785,-35.57875067656551
23,2200,2200,535.3356540203094,-35.304827431421444
24,2300,2300,564.5258326530457,-36.52793759737256
25,2400,2400,593.2397928237915,-36.715017604007066
26,2500,2500,621.431615114212,-35.79802201463251
27,2600,2600,650.0057709217072,-36.80423618455661
28,2700,2700,679.3160965442657,-34.42019861888218
29,2800,2800,708.7795684337616,-36.033309470621255
30,2900,2900,739.0001883506775,-35.193362482848
31,3000,3000,770.9173908233643,-35.94827263323568
