episode,step,env_step,total_time,episode_reward
1,0,0,0.2832353115081787,-87.98578777147219
2,100,100,0.3490865230560303,-72.95639170480887
3,200,200,0.39631199836730957,-65.24662099554943
4,300,300,0.4455850124359131,-71.95372453902907
5,400,400,26.555906057357788,-127.45530936009212
6,500,500,36.68084216117859,-79.75825668459245
7,600,600,46.75255608558655,-64.9438452884141
8,700,700,56.721781492233276,-74.2926613982029
9,800,800,67.1918957233429,-58.74260972185612
10,900,900,77.32121849060059,-56.74310629942876
11,1000,1000,87.29854416847229,-57.730090329188236
12,1100,1100,97.14146447181702,-48.314173986318835
13,1200,1200,107.02836513519287,-43.8784705576171
14,1300,1300,117.08731079101562,-46.52187989838133
15,1400,1400,127.02842140197754,-40.88636174067188
16,1500,1500,137.0507528781891,-41.987160225166754
17,1600,1600,147.2224154472351,-42.473607867999405
18,1700,1700,156.9376151561737,-39.08825975707871
19,1800,1800,166.78000164031982,-40.069654255913065
20,1900,1900,176.8666286468506,-37.8559874637496
21,2000,2000,186.79002714157104,-39.06079458543873
22,2100,2100,196.74424695968628,-38.51236587515197
23,2200,2200,206.65199184417725,-39.9542943813414
24,2300,2300,216.75420808792114,-38.780411825204524
25,2400,2400,226.71548676490784,-36.29062680337156
26,2500,2500,236.79608464241028,-36.32710324058954
27,2600,2600,246.87085461616516,-36.48480697634164
28,2700,2700,256.7296869754791,-39.92763327884434
29,2800,2800,267.01781940460205,-41.63116007531126
30,2900,2900,276.95645356178284,-38.793971954764004
31,3000,3000,286.79046273231506,-35.26569135993906
32,3100,3100,296.7438645362854,-50.96620377319511
33,3200,3200,306.9644920825958,-80.49518604881744
34,3300,3300,318.4810256958008,-53.96889842680948
35,3400,3400,329.9915816783905,-46.4213014452374
36,3500,3500,340.4074602127075,-46.21516414031835
37,3600,3600,350.7551283836365,-46.58200620318026
38,3700,3700,360.71565318107605,-48.23256351184215
39,3800,3800,370.7293837070465,-48.36639492239751
40,3900,3900,380.5028483867645,-62.368231810840705
41,4000,4000,390.36910104751587,-64.5457100830249
42,4100,4100,400.41808581352234,-48.32402240173517
43,4200,4200,410.33421444892883,-54.53768343507285
44,4300,4300,420.1696038246155,-48.11827733665866
45,4400,4400,430.13573837280273,-43.62859960065889
46,4500,4500,440.21365785598755,-47.80189117070662
47,4600,4600,450.027250289917,-44.24543297803074
48,4700,4700,459.9635965824127,-46.345179038535484
49,4800,4800,469.9208652973175,-43.53984948913841
50,4900,4900,480.5517554283142,-42.779419311477156
51,5000,5000,490.4767475128174,-39.17026523538534
