episode,step,env_step,total_time,episode_reward
1,0,0,0.2506108283996582,-41.253609332207816
2,50,50,0.2815220355987549,-42.22089687218791
3,100,100,0.30460500717163086,-37.072827252347544
4,150,150,0.33065080642700195,-43.59793556224712
5,200,200,19.80579447746277,-85.64018822742854
6,250,250,29.3486328125,-28.32455460575133
7,300,300,38.80288887023926,-21.200658083336165
8,350,350,48.449806690216064,-19.748927151609298
9,400,400,58.019766092300415,-12.93892504652962
10,450,450,69.80250430107117,-9.935358503728875
11,500,500,80.36043548583984,-8.441181663188441
12,550,550,90.6282684803009,-6.984249260685804
13,600,600,101.01608180999756,-6.428605373397083
14,650,650,111.62304949760437,-6.065930608138342
15,700,700,121.60133004188538,-6.08786891459619
16,750,750,132.4903883934021,-4.951736563636589
17,800,800,142.98791456222534,-5.417271223784154
18,850,850,152.98592805862427,-6.315595425608173
19,900,900,163.8938388824463,-5.7799918834793225
20,950,950,174.8860969543457,-5.712236427479418
21,1000,1000,185.00899171829224,-6.157811360747479
