episode,step,env_step,total_time,episode_reward
1,0,0,0.2768282890319824,-38.214121439069174
2,50,50,0.3177196979522705,-36.49436770563638
3,100,100,0.34401893615722656,-42.05582391288422
4,150,150,0.3691530227661133,-45.50756974516914
5,200,200,19.0760600566864,-100.0073498424977
6,250,250,30.711266040802002,-25.064862850988373
7,300,300,41.90971827507019,-27.45226176318815
8,350,350,55.70361876487732,-21.899928215193423
9,400,400,68.64817953109741,-12.189853582615086
10,450,450,85.85761332511902,-12.430534392080578
11,500,500,99.71686506271362,-13.81173408313813
12,550,550,113.16640615463257,-11.123018451670914
13,600,600,126.88509821891785,-8.764393665268328
14,650,650,140.22544074058533,-8.107049691026917
15,700,700,154.0612874031067,-9.007945553982218
16,750,750,167.3092987537384,-9.073215934545496
17,800,800,180.58330011367798,-8.973147638054124
18,850,850,194.562828540802,-9.398740581466981
19,900,900,208.04319310188293,-9.885251631242813
20,950,950,222.0049500465393,-9.279219956515618
21,1000,1000,235.57762026786804,-9.389554672553203
