episode,step,env_step,total_time,episode_reward
1,0,0,0.25170254707336426,-45.22800222952935
2,50,50,0.30286169052124023,-37.71765857129007
3,100,100,0.3306844234466553,-40.90184376704168
4,150,150,0.3669264316558838,-41.95173535136079
5,200,200,123.98281669616699,-113.71049393586352
6,250,250,191.40249967575073,-27.331836464705443
7,300,300,273.32027220726013,-17.07312009984225
8,350,350,366.67892360687256,-16.283903845168187
9,400,400,478.5980935096741,-21.553172602452825
10,450,450,604.9451813697815,-14.531237359743576
11,500,500,733.2785494327545,-8.446363228866584
12,550,550,861.2332472801208,-6.119241871319984
13,600,600,989.248298406601,-7.549543815917215
14,650,650,1117.3355486392975,-10.281304508727949
15,700,700,1244.7945466041565,-7.142092041767553
16,750,750,1372.5410838127136,-8.224477200472524
17,800,800,1500.2470903396606,-7.228608449133613
18,850,850,1628.3428130149841,-8.23637246837169
19,900,900,1756.1690738201141,-7.923209372366439
20,950,950,1884.4962368011475,-5.266698539842143
21,1000,1000,2012.8203225135803,-8.13115938702038
