episode,step,env_step,total_time,episode_reward
1,0,0,0.261638879776001,-38.214121439069174
2,50,50,0.3029789924621582,-36.49436770563638
3,100,100,0.34717488288879395,-42.05582391288422
4,150,150,0.38887953758239746,-45.50756974516914
5,200,200,16.24942445755005,-100.0073498424977
6,250,250,21.53325319290161,-79.22080209334662
7,300,300,26.643006086349487,-46.93987636507034
8,350,350,31.539515256881714,-20.65978604611916
9,400,400,36.4524188041687,-14.290877660629302
10,450,450,41.461426734924316,-14.0119004111262
11,500,500,46.432682037353516,-13.234999228316326
12,550,550,50.85597586631775,-11.820111692187863
13,600,600,55.814049243927,-11.38631203167403
14,650,650,60.69238758087158,-12.322633476834175
15,700,700,65.72643566131592,-11.587223978269384
16,750,750,70.68273854255676,-11.086094650499286
17,800,800,75.704021692276,-11.217930609796955
18,850,850,80.64116859436035,-12.472860663071216
19,900,900,85.14695858955383,-10.466539604635038
20,950,950,90.10160446166992,-11.728875714576006
21,1000,1000,95.04919528961182,-11.613746755105673
