episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.5942978858947754,-13.527002245816552,0
2,500,500,0.9393596649169922,0.6094370439209639,0
3,1000,1000,1.3043544292449951,5.114081872653247,0
4,1500,1500,1.6543402671813965,-5.380327416168101,0
5,2000,2000,125.7248306274414,-20.193606856272275,1024
6,2500,2500,182.16705584526062,20.631375811162705,1024
7,3000,3000,240.80116271972656,21.20478810234037,1024
8,3500,3500,301.8876473903656,42.66187207940305,1024
9,4000,4000,360.49766993522644,44.4757035369348,1024
10,4500,4500,421.1617822647095,29.708656971171717,1024
11,5000,5000,482.4434332847595,8.088959030794445,1024
12,5500,5500,543.0856728553772,39.99586189406567,1024
13,6000,6000,601.7737429141998,9.315585458304726,1024
14,6500,6500,664.8810300827026,3.8567637533368817,1024
15,7000,7000,727.5116996765137,9.223812683943027,1024
16,7500,7500,789.5907335281372,11.99061360466173,1024
17,8000,8000,848.5981924533844,35.733718119743074,1024
18,8500,8500,913.2119300365448,21.261696595808075,1024
19,9000,9000,975.3476994037628,29.78171695211349,1024
20,9500,9500,1034.5016627311707,19.03895953400296,1024
21,10000,10000,1096.1696298122406,24.48815675823393,1024
22,10500,10500,1157.2036147117615,44.78285322027142,1024
23,11000,11000,1220.1628682613373,6.916675270567321,1024
24,11500,11500,1276.3169503211975,39.618281415164425,1024
25,12000,12000,1336.1272602081299,48.66849956970698,1024
26,12500,12500,1395.7621626853943,18.59289664296341,1024
27,13000,13000,1458.8558361530304,11.293225362330146,1024
28,13500,13500,1518.9102807044983,10.144620963723755,1024
29,14000,14000,1578.3446428775787,40.773096517918795,1024
30,14500,14500,1636.6791489124298,68.68631356663279,1024
31,15000,15000,1700.9041039943695,30.277897201880094,1024
