episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.5156712532043457,-9.203326506469821,0
2,500,500,0.8427050113677979,3.152501870294764,0
3,1000,1000,1.1210570335388184,14.554387285801884,0
4,1500,1500,1.3958351612091064,-3.207658992763779,0
5,2000,2000,119.73316311836243,-17.861692603993927,1024
6,2500,2500,176.62131142616272,15.139763609771576,1024
7,3000,3000,235.98967838287354,40.26697241153976,1024
8,3500,3500,296.95686984062195,29.288002621903303,1024
9,4000,4000,354.8809096813202,13.87647980649623,1024
10,4500,4500,414.70915150642395,11.056965709544974,1024
11,5000,5000,475.5938024520874,31.36632610615433,1024
12,5500,5500,533.598979473114,22.52056117839404,1024
13,6000,6000,591.5446186065674,31.910486610459433,1024
14,6500,6500,653.560638666153,26.684109773373425,1024
15,7000,7000,712.9633982181549,14.940737042885448,1024
16,7500,7500,773.6228847503662,53.71458930821957,1024
17,8000,8000,831.1754651069641,40.5244195929416,1024
18,8500,8500,894.0540609359741,3.610114071551173,1024
19,9000,9000,955.9164552688599,38.53925597950951,1024
20,9500,9500,1014.7997989654541,46.17631507020419,1024
21,10000,10000,1071.753760099411,45.38239972551433,1024
22,10500,10500,1129.3488664627075,13.98809621526939,1024
23,11000,11000,1191.521894454956,6.309917628144246,1024
24,11500,11500,1249.187809228897,15.030456478290702,1024
25,12000,12000,1305.7394378185272,69.35686533487006,1024
26,12500,12500,1363.130428314209,20.507220772861963,1024
27,13000,13000,1426.927399635315,36.579716375088225,1024
28,13500,13500,1488.2596163749695,14.036994870347264,1024
29,14000,14000,1545.3078680038452,51.56754262657985,1024
30,14500,14500,1603.862060546875,49.28227423853087,1024
31,15000,15000,1668.5049591064453,22.10580571033061,1024
