episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.476851224899292,15.675951544261766,0
2,500,500,0.7513582706451416,-21.594137018998,0
3,1000,1000,1.0116651058197021,14.134411591039113,0
4,1500,1500,1.261812448501587,-13.356562825872825,0
5,2000,2000,117.94573950767517,-9.194434896749414,209
6,2500,2500,179.16821837425232,31.819660880966353,185
7,3000,3000,235.8258135318756,5.281050727627062,414
8,3500,3500,296.54155588150024,6.914562522899665,400
9,4000,4000,359.76702213287354,11.892394472527588,610
10,4500,4500,422.1356384754181,8.902982806538349,817
11,5000,5000,483.42825198173523,-4.817595346530256,1024
12,5500,5500,548.4244241714478,6.525790234133103,1019
13,6000,6000,610.3954865932465,-5.049344643636174,1024
14,6500,6500,674.1253435611725,5.97687168467332,1024
15,7000,7000,734.7508807182312,1.7346733593533152,1024
16,7500,7500,800.170961856842,4.4655964517546485,1024
17,8000,8000,865.7616629600525,24.313538871055606,1024
18,8500,8500,926.4736433029175,31.19296091757532,1024
19,9000,9000,986.6618089675903,4.758453994130094,1024
20,9500,9500,1055.537356853485,2.6586515836975684,1024
21,10000,10000,1116.5038349628448,2.891818119480946,1024
22,10500,10500,1177.054034948349,37.432368835299776,1024
23,11000,11000,1238.1899936199188,39.60171878190262,1024
24,11500,11500,1308.5429859161377,17.79502093694818,1024
25,12000,12000,1373.7231378555298,36.7684592496787,1024
26,12500,12500,1433.8906438350677,33.812996661412654,1024
27,13000,13000,1494.8084869384766,41.88063330231491,1024
28,13500,13500,1563.8637113571167,34.6960914995991,1024
29,14000,14000,1627.908941268921,29.62243110980359,1024
30,14500,14500,1688.4300339221954,5.834999688872196,1024
31,15000,15000,1756.7487299442291,12.930119643568732,1024
