episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.5463793277740479,15.798305424988213,0
2,500,500,0.8848707675933838,16.120050052227505,0
3,1000,1000,1.1337683200836182,-6.347591593445899,0
4,1500,1500,1.3822519779205322,-0.2479220158756874,0
5,2000,2000,116.44109535217285,-16.56488352674166,256
6,2500,2500,177.57546019554138,-10.991812875223662,256
7,3000,3000,233.32322478294373,20.235499917660224,256
8,3500,3500,286.00732231140137,-1.1844628631205987,256
9,4000,4000,339.6419699192047,39.920866212381924,256
10,4500,4500,402.3544249534607,26.129886539082694,256
11,5000,5000,460.50936222076416,27.24408900726359,256
12,5500,5500,515.1134479045868,21.719121229414625,256
13,6000,6000,568.6107084751129,27.7062964894657,256
14,6500,6500,622.1804873943329,-4.796780055992742,256
15,7000,7000,680.601432800293,14.217722912764616,256
16,7500,7500,734.9795262813568,30.05145661042947,256
17,8000,8000,787.7404401302338,24.897372290676216,256
18,8500,8500,840.6720812320709,27.264866412483478,256
19,9000,9000,902.5759510993958,28.4699577968023,256
20,9500,9500,959.8899080753326,42.84404427914348,256
21,10000,10000,1013.4430840015411,31.141937465840495,256
22,10500,10500,1068.6531252861023,28.060781784390795,256
23,11000,11000,1124.288775920868,22.038496060063128,256
24,11500,11500,1177.4769237041473,40.21975031096199,256
25,12000,12000,1231.2146713733673,27.816339078531293,256
26,12500,12500,1284.5676321983337,32.629604951997536,256
27,13000,13000,1340.592295408249,12.455484743233093,256
28,13500,13500,1398.7189328670502,23.60562129476056,256
29,14000,14000,1452.902023077011,16.367042511793674,256
30,14500,14500,1506.1340086460114,11.826736136759825,256
31,15000,15000,1559.2721319198608,30.335071432782396,256
