episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.47066688537597656,-9.203326506469821,0
2,500,500,0.7317764759063721,3.152501870294764,0
3,1000,1000,0.9765059947967529,14.554387285801884,0
4,1500,1500,1.2218613624572754,-3.207658992763779,0
5,2000,2000,103.48559832572937,-17.861692603993927,0
6,2500,2500,141.0601453781128,9.126958280709266,0
7,3000,3000,182.41300559043884,15.193886454536194,0
8,3500,3500,220.07166934013367,38.35933916059787,0
9,4000,4000,257.5420780181885,26.190146852980764,0
10,4500,4500,294.9718248844147,13.838821925445512,0
11,5000,5000,332.6283576488495,19.83231219903017,0
12,5500,5500,369.59055256843567,38.11678034449437,0
13,6000,6000,412.3268835544586,46.45464014206125,0
14,6500,6500,452.2484622001648,41.954826666897674,0
15,7000,7000,490.86620473861694,47.637404821817256,0
16,7500,7500,528.1719379425049,21.570043527867817,0
17,8000,8000,567.5431797504425,24.61349027930172,0
18,8500,8500,607.0396349430084,5.24288286939716,0
19,9000,9000,647.7645990848541,89.93712646728675,0
20,9500,9500,689.3819530010223,26.969780980213034,0
21,10000,10000,728.169814825058,44.01195502043415,0
22,10500,10500,764.8600478172302,53.66119849454986,0
23,11000,11000,803.8608644008636,21.985061180655492,0
24,11500,11500,842.1588168144226,28.302074396875476,0
25,12000,12000,880.5334348678589,37.17663534188448,0
26,12500,12500,919.1349618434906,49.267126355069294,0
27,13000,13000,957.0084590911865,49.68400785187381,0
28,13500,13500,995.6327636241913,27.195690222705,0
29,14000,14000,1032.776034116745,15.657050138430584,0
30,14500,14500,1070.1553721427917,21.051480211641294,0
31,15000,15000,1109.0963418483734,34.73927809232975,0
