episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.5444581508636475,13.958584308834704,0
2,500,500,0.8283352851867676,-17.861762105182727,0
3,1000,1000,1.0702545642852783,3.376023576616719,0
4,1500,1500,1.312959909439087,-19.770061813104327,0
5,2000,2000,116.40404534339905,-24.842737476291667,21
6,2500,2500,168.9321789741516,23.275480591325007,27
7,3000,3000,224.33296942710876,24.497716783273482,33
8,3500,3500,281.9118230342865,8.751680094897175,32
9,4000,4000,336.2921898365021,37.910056273672765,35
10,4500,4500,391.58550477027893,30.340415957315383,33
11,5000,5000,455.28206062316895,19.652482716665425,39
12,5500,5500,516.3327763080597,23.018382103986152,72
13,6000,6000,572.3968775272369,24.52225645061362,69
14,6500,6500,628.0454549789429,27.702376023161246,71
15,7000,7000,688.2223908901215,25.021028357904424,86
16,7500,7500,745.0812504291534,32.868476413407656,92
17,8000,8000,802.3938550949097,-3.241727948648154,83
18,8500,8500,858.3987128734589,38.860751942854925,104
19,9000,9000,914.8129255771637,17.831677153665012,99
20,9500,9500,973.9216628074646,44.866292382706895,103
21,10000,10000,1031.3020901679993,17.343062651236345,110
22,10500,10500,1085.4218726158142,60.69175237745952,117
23,11000,11000,1152.6845211982727,28.546777749699437,112
24,11500,11500,1214.6405472755432,34.97395829749591,123
25,12000,12000,1270.5245547294617,34.82925511758291,133
26,12500,12500,1327.545711517334,32.06265763019664,118
27,13000,13000,1386.9586889743805,23.18917031473631,126
28,13500,13500,1444.66823554039,37.3252299131415,126
29,14000,14000,1500.4555566310883,24.747749943152982,126
30,14500,14500,1556.6082258224487,38.18615487893741,130
31,15000,15000,1609.8870799541473,20.494534760824465,124
