episode,step,env_step,total_time,episode_reward
1,0,0,0.017577409744262695,-232.51243953282707
2,40,200,0.032587289810180664,-240.16663408979437
3,80,400,0.04457736015319824,-214.3420535564404
4,120,600,0.05657672882080078,-253.2439051371545
5,160,800,9.736359357833862,-266.4916285938927
6,200,1000,42.691975831985474,-216.1724397242115
7,240,1200,49.431729555130005,-242.37764309013482
8,280,1400,64.34159302711487,-261.9997419205518
9,320,1600,72.21939778327942,-206.89744493347857
10,360,1800,79.75970149040222,-170.1015453684376
11,400,2000,96.94434189796448,-171.6193436240129
12,440,2200,104.61347651481628,-215.28176310722455
13,480,2400,112.22164011001587,-173.14096023022992
