episode,step,env_step,total_time,episode_reward
1,0,0,0.11675024032592773,-1067.4031955416337
2,200,200,12.45474362373352,-993.9232582887358
3,400,400,25.696237802505493,-1498.0321118259244
4,600,600,40.44620442390442,-1261.034378117654
5,800,800,58.492300510406494,-1083.8044719346847
6,1000,1000,75.08387494087219,-250.58374987203612
7,1200,1200,106.23387670516968,-125.72465714908066
8,1400,1400,123.73766899108887,-126.7035026222286
9,1600,1600,141.6043848991394,-125.64092688893636
10,1800,1800,159.47955894470215,-129.52652240308473
11,2000,2000,179.03382539749146,-128.97866968221987
12,2200,2200,216.717294216156,-129.63248963632827
13,2400,2400,236.01106762886047,-129.7583189849272
14,2600,2600,255.46752619743347,-128.26091951881907
15,2800,2800,274.87106466293335,-127.61386186348463
16,3000,3000,294.8420250415802,-125.83066428081628
17,3200,3200,332.9777672290802,-1132.7212578449935
18,3400,3400,357.11498069763184,-127.30361645671539
19,3600,3600,377.7301695346832,-127.37844803227654
20,3800,3800,397.93834137916565,-384.37939933173277
21,4000,4000,417.69270849227905,-127.66033963441906
22,4200,4200,456.3288860321045,-128.30475431021642
23,4400,4400,476.1012177467346,-128.80461554412307
24,4600,4600,496.59903860092163,-129.19591807254565
25,4800,4800,517.6392161846161,-129.32193424170654
26,5000,5000,537.4137437343597,-128.990239033171
27,5200,5200,574.2304458618164,-128.90407678278405
28,5400,5400,593.514078617096,-125.03510844454387
29,5600,5600,612.8058111667633,-128.0718536816101
30,5800,5800,632.4974274635315,-128.83257150027217
31,6000,6000,652.0556049346924,-129.68610055232784
