episode,step,env_step,total_time,episode_reward
1,0,0,0.12117958068847656,-1301.5945045396602
2,200,200,12.670998096466064,-1452.360970352547
3,400,400,28.000272274017334,-745.034123051618
4,600,600,43.36700797080994,-1336.7302192212114
5,800,800,59.89593768119812,-861.6424369167513
6,1000,1000,79.362539768219,-247.12820420557927
7,1200,1200,114.20065140724182,-888.7966275650446
8,1400,1400,133.73375296592712,-125.72020594074122
9,1600,1600,153.36256670951843,-122.46125362311665
10,1800,1800,172.90847516059875,-907.061724099194
11,2000,2000,195.658784866333,-3.2673420357147727
12,2200,2200,236.36261224746704,-248.60339021809466
13,2400,2400,258.745952129364,-511.52025774724694
14,2600,2600,281.44597244262695,-123.32988621791027
15,2800,2800,303.9253046512604,-712.6124759369827
16,3000,3000,329.42142605781555,-698.290993026464
17,3200,3200,375.1112895011902,-125.1453912032098
18,3400,3400,401.15424704551697,-508.35940648848543
19,3600,3600,427.0546762943268,-238.50493905386938
20,3800,3800,452.59648609161377,-245.80896137131722
21,4000,4000,481.3045518398285,-488.5715537207769
22,4200,4200,534.1169958114624,-240.20030905884664
23,4400,4400,563.0292680263519,-122.51733766485441
24,4600,4600,591.9128177165985,-125.37159472274567
25,4800,4800,621.0169682502747,-592.7078653239215
26,5000,5000,650.2086069583893,-243.74609508338185
27,5200,5200,702.3168954849243,-492.076386027767
28,5400,5400,731.3878045082092,-370.2499561936334
29,5600,5600,759.7918643951416,-478.66368283511594
30,5800,5800,788.4003422260284,-478.4448148723602
31,6000,6000,817.0547053813934,-360.20811632233796
32,6200,6200,869.320974111557,-242.962527094947
33,6400,6400,898.2669024467468,-124.20673684184166
34,6600,6600,926.8048949241638,-124.87859823593877
35,6800,6800,955.2086579799652,-633.711741336952
36,7000,7000,984.0712721347809,-123.75830284816878
37,7200,7200,1037.0584733486176,-121.41558916216243
38,7400,7400,1065.758697271347,-365.2315048605085
39,7600,7600,1094.5921473503113,-244.1455201763655
40,7800,7800,1123.1585042476654,-125.00253647346834
41,8000,8000,1152.8010711669922,-239.89650117592737
42,8200,8200,1205.5126061439514,-363.5623548680534
43,8400,8400,1234.6127240657806,-356.0193123547208
44,8600,8600,1264.2669687271118,-483.79682486140274
45,8800,8800,1293.5963230133057,-127.17794031777449
46,9000,9000,1321.5054876804352,-126.5659636029996
47,9200,9200,1372.4002993106842,-126.21085434736835
48,9400,9400,1400.166983127594,-243.6887604966511
49,9600,9600,1428.9506125450134,-480.3013064842337
50,9800,9800,1458.2048079967499,-124.7862467711126
51,10000,10000,1488.1297512054443,-124.4774441473207
