episode,step,env_step,total_time,episode_reward
1,0,0,0.11245846748352051,-1332.2901395301417
2,200,200,12.68747615814209,-1648.3113154930522
3,400,400,28.758889198303223,-1157.0491959832793
4,600,600,44.32945227622986,-1052.1652762021595
5,800,800,61.72107934951782,-1000.6285442835435
6,1000,1000,81.50438523292542,-1094.5968142122463
7,1200,1200,117.06271076202393,-757.2623397284294
8,1400,1400,136.34619045257568,-358.39028323710477
9,1600,1600,156.37938117980957,-374.35113315723396
10,1800,1800,176.2126019001007,-746.8099052695117
11,2000,2000,198.9333758354187,-3.4998564987962566
12,2200,2200,238.9796497821808,-1.288570997413471
13,2400,2400,261.6253423690796,-240.0888205281372
14,2600,2600,284.12970542907715,-127.01635938765394
15,2800,2800,306.0212080478668,-126.83675600352112
16,3000,3000,330.69218492507935,-366.42472269766796
17,3200,3200,376.5752635002136,-119.8146803312485
18,3400,3400,401.24203991889954,-0.9789234509686761
19,3600,3600,426.40458726882935,-119.36441925372203
20,3800,3800,451.3007938861847,-1.6117477097754558
21,4000,4000,479.6251871585846,-2.1626304211553373
22,4200,4200,530.7500951290131,-355.0873847119285
23,4400,4400,558.6171486377716,-125.27565964426557
24,4600,4600,586.1043746471405,-548.8001423267842
25,4800,4800,613.441707611084,-354.73376114218075
26,5000,5000,641.1752209663391,-122.7482820142555
27,5200,5200,692.362952709198,-124.71772946007745
28,5400,5400,720.2170693874359,-503.63309457543664
29,5600,5600,748.0044944286346,-122.59955113556066
30,5800,5800,777.341858625412,-593.4905071473668
31,6000,6000,805.9211497306824,-235.6818075628081
32,6200,6200,858.9545021057129,-124.92669390987488
33,6400,6400,887.6624391078949,-589.6370836888984
34,6600,6600,916.7710697650909,-121.6526551873781
35,6800,6800,945.5918350219727,-127.7916430146213
36,7000,7000,974.8045833110809,-359.88007394707034
37,7200,7200,1026.0709383487701,-125.10585280121249
38,7400,7400,1054.2587139606476,-245.41075930359975
39,7600,7600,1082.7545034885406,-129.94929514778428
40,7800,7800,1110.9711875915527,-240.68269110781276
41,8000,8000,1139.0878083705902,-0.920962162313993
42,8200,8200,1190.9377863407135,-6.28965722021289
43,8400,8400,1219.78377699852,-128.47579750808487
44,8600,8600,1248.5965156555176,-126.34386495184607
45,8800,8800,1277.3005380630493,-350.56204237027055
46,9000,9000,1305.7458744049072,-130.71855449469456
47,9200,9200,1357.8458993434906,-130.28582148604508
48,9400,9400,1386.637480020523,-381.223857248066
49,9600,9600,1415.383733510971,-485.7393600164608
50,9800,9800,1443.3585274219513,-501.05863626498723
51,10000,10000,1470.8709831237793,-415.9772939705828
