episode,step,env_step,total_time,episode_reward
1,0,0,0.11068272590637207,-1067.4031955416337
2,200,200,12.492503643035889,-993.9232582887358
3,400,400,26.602827787399292,-1287.7488348654824
4,600,600,41.82456660270691,-1227.1411034667397
5,800,800,55.25782012939453,-1102.9552800503077
6,1000,1000,71.21670699119568,-663.1719826697321
7,1200,1200,97.91280794143677,-252.23697993216814
8,1400,1400,109.55822491645813,-126.64477869185586
9,1600,1600,122.42783784866333,-125.78796422283223
10,1800,1800,135.0689868927002,-126.189005559718
11,2000,2000,148.3907506465912,-126.26902179829302
12,2200,2200,175.44622468948364,-126.74443930876559
13,2400,2400,187.60673236846924,-126.37949417337907
14,2600,2600,202.45972204208374,-125.53399875876244
15,2800,2800,217.21046090126038,-127.1789446922817
16,3000,3000,231.42616748809814,-127.21661991651148
17,3200,3200,259.33657932281494,-127.18894610011903
18,3400,3400,274.53965878486633,-129.3537802612219
19,3600,3600,289.600225687027,-127.85596034770668
20,3800,3800,304.3729205131531,-128.50003368812165
21,4000,4000,318.0998864173889,-129.4414588642782
22,4200,4200,345.8178610801697,-129.9157486410368
23,4400,4400,359.1821675300598,-130.5068308198577
24,4600,4600,375.18704748153687,-129.3534123333853
25,4800,4800,394.15848898887634,-255.285175730034
26,5000,5000,412.90340852737427,-128.90877789023185
27,5200,5200,440.525995016098,-131.09273952825674
28,5400,5400,453.2103111743927,-129.01587612213962
29,5600,5600,470.533154964447,-254.48036577380356
30,5800,5800,491.4416003227234,-129.00005060496375
31,6000,6000,510.77224111557007,-130.19116472710635
