episode,step,env_step,total_time,episode_reward
1,0,0,0.13814425468444824,-1332.2901395301417
2,200,200,11.618974924087524,-1648.3113154930522
3,400,400,22.663288831710815,-1133.255170280879
4,600,600,34.69391345977783,-1369.1347319449867
5,800,800,47.867000579833984,-876.5713131666023
6,1000,1000,60.62214159965515,-1071.2569280418902
7,1200,1200,73.57447481155396,-617.0028565526186
8,1400,1400,86.22821259498596,-486.51429870141015
9,1600,1600,99.1368088722229,-247.5469024475059
10,1800,1800,111.9743082523346,-637.2671662850058
11,2000,2000,124.85672092437744,-382.52724990640786
12,2200,2200,137.78101563453674,-4.2334499915064
13,2400,2400,150.55177116394043,-237.6816721946795
14,2600,2600,163.83665680885315,-128.7837348313516
15,2800,2800,178.23326325416565,-127.94581148790517
16,3000,3000,192.56680345535278,-367.0989714579586
17,3200,3200,206.38202738761902,-119.14878241246035
18,3400,3400,220.43702864646912,-0.5635926606328979
19,3600,3600,233.89215755462646,-119.26798855057909
20,3800,3800,247.0041422843933,-1.2234272809893973
21,4000,4000,259.96415424346924,-2.0555260889308324
22,4200,4200,272.9779829978943,-360.61330964605236
23,4400,4400,285.7839665412903,-126.10357592074344
24,4600,4600,298.8029294013977,-504.15084098359415
25,4800,4800,311.67214798927307,-364.7425003941428
26,5000,5000,324.33992862701416,-126.5471290015118
27,5200,5200,337.0519161224365,-126.59410726800108
28,5400,5400,349.8040385246277,-502.13601598976624
29,5600,5600,362.69932293891907,-127.46978712862048
30,5800,5800,375.5164270401001,-470.4029886627336
31,6000,6000,388.36586451530457,-364.6164041017882
