episode,step,env_step,total_time,episode_reward
1,0,0,0.12639188766479492,-1573.319738017077
2,200,200,11.912398099899292,-1651.4581661191473
3,400,400,22.61799168586731,-1524.5348027542248
4,600,600,34.451573848724365,-1335.1524982188137
5,800,800,46.24472260475159,-1170.9307301548638
6,1000,1000,58.98072171211243,-911.7500636953774
7,1200,1200,71.93678855895996,-1003.3398239982411
8,1400,1400,84.98410081863403,-1142.990031757088
9,1600,1600,97.99520111083984,-492.2686089987105
10,1800,1800,111.25451445579529,-491.55084502862655
11,2000,2000,125.6362247467041,-614.6291162609306
12,2200,2200,139.90758109092712,-1165.7250164896595
13,2400,2400,154.30644702911377,-992.8819478434051
14,2600,2600,168.50944995880127,-623.9322802814434
15,2800,2800,182.86910700798035,-492.66044676880557
16,3000,3000,197.3742208480835,-490.49120677180184
17,3200,3200,211.7156205177307,-488.13821831338964
18,3400,3400,226.0028681755066,-485.97044953836763
19,3600,3600,239.89464378356934,-480.10085008059394
20,3800,3800,253.57276558876038,-476.25677479315453
21,4000,4000,267.55743312835693,-469.4400609276429
22,4200,4200,281.77707600593567,-593.571521846187
23,4400,4400,296.07308983802795,-598.6457215821767
24,4600,4600,310.3518011569977,-601.1550872349692
25,4800,4800,324.2762608528137,-597.5079599243564
26,5000,5000,338.4458611011505,-596.7461566953549
27,5200,5200,352.84118127822876,-597.979808986699
28,5400,5400,367.26868629455566,-604.2163566294984
29,5600,5600,382.0636022090912,-603.3401946321627
30,5800,5800,396.17736315727234,-607.6948490558759
31,6000,6000,410.4290533065796,-601.8521784238983
